,number_of_sentences,perc_of_sentences,total_appearance,perc_of_appearance,weights,regularized_weights,upper,lower
Vt,2898,13.16%,3258,7.31%,0.312,0.136,0.168,0.103
Vm,394,1.79%,413,0.93%,0.338,0.146,0.248,0.036
V0,418,1.90%,449,1.01%,0.277,0.086,0.173,0.005
Vform,1334,6.06%,1423,3.19%,0.417,0.237,0.290,0.177
SVA,1403,6.37%,1467,3.29%,0.353,0.174,0.224,0.126
ArtOrDet,5530,25.12%,6563,14.73%,0.211,0.027,0.051,0.004
Nn,3294,14.96%,3754,8.43%,0.275,0.087,0.116,0.054
Npos,222,1.01%,248,0.56%,0.174,-0.011,0.109,-0.107
Pform,167,0.76%,171,0.38%,0.186,0.004,0.143,-0.126
Pref,817,3.71%,929,2.09%,0.224,0.034,0.095,-0.026
Prep,2328,10.57%,2473,5.55%,0.260,0.072,0.111,0.034
Wci,4599,20.89%,5482,12.31%,0.227,0.042,0.067,0.017
Wa,57,0.26%,58,0.13%,0.215,0.029,0.288,-0.205
Wform,2095,9.52%,2262,5.08%,0.313,0.127,0.170,0.085
Wtone,556,2.53%,599,1.34%,0.237,0.052,0.126,-0.023
Srun,775,3.52%,828,1.86%,0.264,0.077,0.148,0.010
Smod,58,0.26%,58,0.13%,0.599,0.414,0.734,0.136
Spar,463,2.10%,499,1.12%,0.261,0.078,0.155,0.001
Sfrag,158,0.72%,161,0.36%,0.294,0.107,0.245,-0.026
Ssub,311,1.41%,328,0.74%,0.239,0.049,0.153,-0.057
WOinc,648,2.94%,696,1.56%,0.279,0.094,0.160,0.031
WOadv,289,1.31%,316,0.71%,0.218,0.034,0.125,-0.058
Trans,1192,5.41%,1270,2.85%,0.276,0.090,0.142,0.038
Mec,2486,11.29%,2899,6.51%,0.306,0.122,0.156,0.090
Rloc-,4072,18.50%,5022,11.27%,0.282,0.098,0.120,0.074
Cit,379,1.72%,394,0.88%,0.139,-0.048,0.045,-0.137
Others,1380,6.27%,1463,3.28%,0.219,0.034,0.083,-0.019
Um,1030,4.68%,1062,2.38%,0.373,0.189,0.254,0.127
TotalMistakes,22015,100.00%,44545,100.00%,-178276705074.185,0.000,,
