,number_of_sentences,perc_of_sentences,total_appearance,perc_of_appearance,weights,regularized_weights,upper,lower,upper_rank,lower_rank,mean_rank
R:VERB:FORM,1612,0.07322280263456735,1712,0.034858387799564274,0.20949927504891075,267616312644.33667,0.2605640859314172,0.15959482598468352,50.0,41.0,46.3088
R:VERB:TENSE,2460,0.11174199409493527,2676,0.05448659214464602,0.08180665458778451,267616312644.22937,0.12119584492839988,0.043092379763758154,37.0,18.0,28.1096
M:NOUN,372,0.01689756983874631,377,0.007676175350721804,0.10492976997638657,267616312644.2212,0.21333719403664247,-0.0010816677931244079,47.0,12.0,31.9069
U:PREP,997,0.04528730411083352,1020,0.020768431983385256,0.1220782055814208,267616312644.26184,0.1815587732519942,0.06327781352056043,45.0,23.0,35.8848
M:VERB:TENSE,551,0.025028389734272086,598,0.012176002280455277,0.04609725333817209,267616312644.16394,0.11642914779900745,-0.023799330440458524,36.0,10.0,20.6969
R:PRON,447,0.020304337951396776,486,0.009895547003848268,-0.10299264173774826,267616312644.02637,-0.02186024597902658,-0.1832847081401377,11.0,1.0,4.7611
R:SPELL,145,0.006586418351124233,148,0.003013458758373547,0.23208433177062293,267616312644.34863,0.41053626278732236,0.06035612265688546,52.0,23.0,45.3671
R:ADV,280,0.012718600953895072,282,0.0057418606071712175,0.0628265847766238,267616312644.21887,0.18851125019222487,-0.055938620599117014,45.0,8.0,24.6814
U:NOUN:POSS,67,0.003043379513967749,67,0.0013642009243988353,0.07123398994070519,267616312644.19373,0.306463526806258,-0.1659503905780396,51.0,2.0,26.0232
R:ORTH,534,0.024256188962071316,585,0.01191130657870625,0.08372554111537536,267616312644.25238,0.15895976043813445,0.007924581460546032,42.0,13.0,28.3871
M:DET,3731,0.16947535771065184,4212,0.08576140736668499,0.06456056935416427,267616312644.224,0.09412679316248859,0.03558133043602424,32.0,17.0,24.0545
U:OTHER,2661,0.12087213263683852,2964,0.060350619998778325,0.09544653291297747,267616312644.21582,0.13155391385583112,0.06088350474385025,39.0,22.0,31.3414
R:NOUN,1316,0.059777424483306835,1396,0.028424246126280212,0.06852941568806313,267616312644.20972,0.1177195171284729,0.01931426016954796,37.0,15.0,25.1459
U:ADV,592,0.02689075630252101,604,0.012298169527416367,0.08468684749948835,267616312644.2436,0.16813493053724093,0.006771074188174672,43.0,13.0,28.6087
M:ADJ,177,0.0080399727458551,179,0.0036446562010058435,0.09051482350267118,267616312644.22473,0.2395246293212472,-0.05840250336489897,48.0,7.0,28.9257
R:PREP,1953,0.08871224165341812,2045,0.04163867000590475,0.032407954091768665,267616312644.15356,0.0758679986068142,-0.010498287194935452,27.0,11.0,17.7313
R:CONJ,46,0.002089484442425619,46,0.0009366155600350213,0.0016372324033808727,267616312644.13757,0.2970704643276311,-0.27841419774963005,50.0,1.0,18.6428
U:NOUN,687,0.031205995911878264,727,0.014802598090118706,-0.054287435507976524,267616312644.09058,0.011029226436481576,-0.11935622791743446,14.0,3.0,7.8871
M:VERB:FORM,106,0.0048148989325459916,107,0.002178649237472767,0.26204232169377706,267616312644.40576,0.45175381952744276,0.07758280726805515,53.0,28.0,46.9565
R:NOUN:NUM,3637,0.1652055416761299,4088,0.0832366175961558,0.07613789809699945,267616312644.20398,0.10613932084965758,0.04652300230476139,35.0,19.0,26.8924
R:NOUN:POSS,98,0.004451510333863275,100,0.002036120782684829,-0.2956905123615115,267616312643.84723,-0.1388802910282269,-0.4608584839619098,3.0,0.0,0.4384
U:VERB:FORM,51,0.0023166023166023165,51,0.0010384215991692627,0.06843262181362172,267616312644.1953,0.2999153813085152,-0.14979977317713233,50.0,3.0,25.5401
R:CONTR,55,0.0024982966159436746,56,0.0011402276383035042,0.19510330346434887,267616312644.33667,0.47758446586471626,-0.07405693926882756,53.0,6.0,39.4813
M:ADV,204,0.009266409266409266,206,0.004194408812330747,-0.0722150602367207,267616312644.06274,0.05515710526553068,-0.19802921666997328,22.0,1.0,7.5089
U:DET,2358,0.10710878946173064,2570,0.0523283041150001,-0.011458985535816393,267616312644.11487,0.02546614525121138,-0.04958094410863968,17.0,7.0,11.5158
U:PUNCT,616,0.027980922098569158,635,0.012929366970048664,0.009496357074818725,267616312644.14392,0.08810313060088959,-0.06550654902072339,30.0,6.0,15.0222
M:PRON,153,0.0069498069498069494,153,0.003115264797507788,0.03440704895427604,267616312644.16394,0.2194370439396489,-0.13881752329352975,47.0,3.0,20.6667
U:PART,86,0.0039064274358392,87,0.0017714250809358011,-0.10247344956740534,267616312644.0354,0.09953599066205167,-0.3049164115005183,33.0,0.0,7.0894
R:NOUN:INFL,67,0.003043379513967749,67,0.0013642009243988353,0.3269980373561706,267616312644.46405,0.5555795870573956,0.10009681994959757,53.0,33.0,49.1606
M:PART,37,0.0016806722689075631,37,0.0007533646895933867,-0.022787555922499397,267616312644.1109,0.296909918935887,-0.3279595817627206,50.0,0.0,16.5353
M:CONJ,164,0.007449466272995685,166,0.003379960499256816,0.035984390782052955,267616312644.17236,0.18675520630168774,-0.10673913053965703,44.0,4.0,20.4445
R:VERB:SVA,1384,0.06286622757210993,1447,0.029462667725449473,0.17858004729026333,267616312644.30548,0.22936891072318766,0.1277755740602326,49.0,37.0,43.4515
M:PUNCT,1210,0.054962525550760845,1363,0.027752326267994218,0.026249182819120087,267616312644.1607,0.07595780878010763,-0.022413048469627713,27.0,10.0,16.8954
R:PUNCT,429,0.01948671360436066,442,0.008999653859466944,0.09153711414468152,267616312644.2176,0.18157929059800548,0.004320116862536305,44.0,13.0,29.7846
M:NOUN:POSS,194,0.00881217351805587,216,0.0043980208905992305,-0.07953379724338215,267616312644.06555,0.01986989876184335,-0.18023568018857217,16.0,1.0,6.3937
U:VERB:TENSE,308,0.013990461049284579,316,0.00643414167328406,0.125596571134368,267616312644.26,0.23462147428234068,0.013627858171129499,48.0,14.0,35.1805
U:PRON,211,0.009584374290256643,211,0.004296214851464989,0.1586056089259968,267616312644.29926,0.2944440650252961,0.022398251427166754,51.0,16.0,39.3328
U:CONJ,154,0.0069952305246422895,154,0.0031356260053346362,0.273881340932875,267616312644.41302,0.44240260087566924,0.10983068432330548,53.0,35.0,48.1259
R:WO,371,0.01685214626391097,373,0.007594730519414412,0.1394978936854655,267616312644.2812,0.2390901845760343,0.04058902478347953,49.0,19.0,37.4343
R:VERB,1479,0.06718146718146718,1515,0.030847229857675157,0.05397860074486022,267616312644.1906,0.10362711094864965,0.004819008462052049,34.0,13.0,21.9479
R:ADJ,482,0.02189416307063366,491,0.00999735304298251,0.03435704311926489,267616312644.16803,0.1288263560068833,-0.05595612414822282,38.0,7.0,19.1728
M:PREP,754,0.03424937542584602,773,0.015739213650153728,0.1292275509584089,267616312644.26068,0.20229494054937588,0.05530663983214859,46.0,22.0,36.6228
