,Vt,Vm,V0,Vform,SVA,ArtOrDet,Nn,Npos,Pform,Pref,Prep,Wci,Wa,Wform,Wtone,Srun,Smod,Spar,Sfrag,Ssub,WOinc,WOadv,Trans,Mec,Rloc-,Cit,Others,Um
iter0,22,8,16,26,25,6,10,7,2,3,11,9,1,18,4,19,27,21,14,20,23,12,15,17,13,0,5,24
iter1,22,23,3,26,25,5,11,6,1,4,9,8,0,15,21,18,27,17,20,12,16,14,13,19,10,2,7,24
iter2,19,25,13,26,21,5,16,1,12,2,15,7,6,18,9,11,27,10,22,24,17,3,8,20,14,0,4,23
iter3,21,13,15,26,25,6,14,3,11,2,9,5,22,23,8,12,27,10,17,4,16,1,18,20,19,0,7,24
iter4,21,23,15,26,25,9,14,1,5,10,13,7,2,18,3,4,27,20,17,6,11,16,19,24,12,0,8,22
iter5,22,24,8,26,23,5,14,1,0,12,17,9,6,18,4,11,27,13,10,3,19,16,20,21,15,2,7,25
iter6,22,19,21,26,24,5,15,1,7,8,6,3,25,20,14,4,27,10,9,13,18,11,17,16,12,0,2,23
iter7,22,13,18,26,24,2,15,6,1,7,16,9,4,23,8,17,27,12,5,19,20,10,11,21,14,0,3,25
iter8,23,22,8,26,19,6,15,2,1,5,11,7,16,21,9,13,27,12,24,17,4,10,14,20,18,0,3,25
iter9,19,21,22,26,23,7,11,6,2,3,10,9,0,20,5,13,27,12,24,15,16,4,18,14,17,1,8,25
iter10,22,18,7,26,24,5,17,3,1,4,16,10,11,23,19,8,27,6,13,20,15,2,12,21,14,0,9,25
iter11,20,25,22,26,21,5,10,1,0,12,13,6,3,17,9,15,27,16,19,23,14,7,8,18,11,2,4,24
iter12,20,25,21,26,23,6,13,1,0,7,14,9,2,18,16,11,27,12,19,10,8,4,17,22,15,3,5,24
iter13,22,25,7,26,23,4,13,2,14,5,11,8,19,18,6,15,27,10,21,3,12,1,17,20,16,0,9,24
iter14,19,21,23,26,24,6,16,2,1,9,13,12,0,20,5,7,27,14,15,11,22,8,10,18,17,3,4,25
iter15,21,15,10,26,23,3,16,6,1,11,5,7,25,20,13,8,27,22,12,0,19,9,14,17,18,4,2,24
iter16,22,26,9,25,23,6,12,5,16,4,14,3,0,20,18,21,27,17,2,7,11,15,13,19,10,1,8,24
iter17,21,23,19,26,25,5,13,2,7,3,11,8,24,17,12,6,27,18,20,4,16,0,10,14,15,1,9,22
iter18,19,24,17,25,22,3,11,1,4,13,9,7,20,21,2,14,27,8,23,5,18,6,12,15,16,0,10,26
iter19,22,14,21,26,24,2,10,4,0,9,12,3,18,17,23,6,27,16,5,15,11,7,20,19,13,1,8,25
iter20,20,18,17,26,25,4,15,6,1,2,10,9,21,23,13,11,27,22,3,7,16,8,12,19,14,0,5,24
iter21,22,16,12,26,24,7,14,4,0,8,15,6,13,23,10,2,27,9,21,17,11,5,18,19,20,1,3,25
iter22,24,12,13,27,23,7,22,5,0,6,9,10,8,21,19,15,18,20,2,3,17,4,14,25,16,1,11,26
iter23,19,20,18,25,22,5,15,2,0,7,14,6,23,21,8,13,27,11,26,3,9,4,12,16,17,1,10,24
iter24,22,25,13,24,26,5,16,9,1,11,14,12,0,19,10,4,27,7,2,15,20,6,17,21,18,3,8,23
iter25,22,21,16,26,24,8,12,7,5,4,10,6,13,20,3,17,27,14,23,0,11,1,15,18,19,2,9,25
iter26,23,20,21,26,25,10,12,1,2,9,8,7,5,18,11,13,27,19,22,3,17,0,15,16,14,6,4,24
iter27,21,25,19,26,24,7,15,0,3,13,10,9,5,18,6,12,27,14,8,22,11,4,17,20,16,1,2,23
iter28,21,26,19,25,24,4,15,6,1,3,13,8,2,18,17,9,27,7,12,5,16,11,20,22,14,0,10,23
iter29,23,20,2,26,25,3,14,16,19,11,15,6,8,22,0,10,27,13,17,5,9,7,12,21,18,1,4,24
iter30,19,12,17,26,24,6,14,0,7,4,8,3,13,20,5,18,27,15,11,23,22,2,9,21,16,1,10,25
iter31,20,23,10,27,19,5,14,1,3,4,13,9,8,18,6,16,24,15,7,2,25,22,11,21,17,0,12,26
iter32,19,17,5,25,24,2,12,1,18,9,16,8,3,22,14,7,27,11,23,20,15,6,13,21,10,0,4,26
iter33,22,25,17,26,24,7,15,2,1,4,13,10,3,20,12,11,27,19,5,6,16,9,18,21,14,0,8,23
iter34,21,24,8,22,23,7,15,1,9,4,16,6,26,18,5,10,27,11,25,14,12,2,13,20,17,0,3,19
iter35,21,12,13,25,22,7,14,5,10,18,9,8,26,23,6,16,27,3,20,1,17,2,19,11,15,0,4,24
iter36,23,19,12,26,25,7,14,0,2,5,13,8,9,22,6,16,27,18,21,10,17,4,20,15,11,1,3,24
iter37,21,24,9,26,23,6,16,3,1,12,13,7,22,20,11,19,27,4,15,17,5,2,10,14,18,0,8,25
iter38,22,25,14,26,24,7,10,8,3,2,12,5,1,21,17,11,27,13,23,16,9,6,20,15,18,0,4,19
iter39,18,23,17,24,20,4,13,6,8,14,12,11,26,21,3,5,27,10,9,1,22,19,7,16,15,0,2,25
iter40,20,22,13,26,24,8,17,0,9,6,14,7,1,21,3,11,27,2,23,4,15,10,18,19,12,16,5,25
iter41,19,25,21,27,23,9,17,1,3,5,15,7,2,16,10,12,26,8,20,4,11,22,14,18,13,0,6,24
iter42,20,21,17,27,26,4,18,8,2,10,15,6,0,24,7,11,25,13,22,9,14,5,12,19,16,1,3,23
iter43,20,21,14,26,25,5,17,6,2,10,16,7,3,22,12,23,27,8,9,13,11,1,15,18,19,0,4,24
iter44,23,22,17,26,24,11,18,1,7,10,19,8,0,20,9,16,27,13,6,4,12,3,15,21,14,2,5,25
iter45,18,23,22,26,24,2,12,11,17,6,4,5,1,21,10,7,27,13,9,8,20,16,14,15,19,0,3,25
iter46,18,21,8,26,24,4,10,14,19,5,15,9,3,23,11,7,27,22,1,20,16,6,12,17,13,0,2,25
iter47,22,24,11,25,23,3,9,6,8,2,12,10,0,13,5,21,27,15,14,17,19,1,18,20,16,4,7,26
iter48,22,24,16,25,23,9,14,4,7,1,5,6,2,21,12,11,27,20,26,8,17,10,13,15,18,0,3,19
iter49,22,21,9,26,24,5,12,8,1,2,14,7,0,20,16,13,27,15,23,4,17,6,11,19,18,3,10,25
iter50,23,24,6,26,25,4,15,13,1,18,14,3,2,20,5,19,27,11,10,7,21,8,12,17,16,0,9,22
iter51,21,25,18,26,23,6,15,1,0,7,11,9,12,22,20,8,27,4,14,5,13,10,16,19,17,3,2,24
iter52,20,23,5,25,24,4,15,2,0,6,14,9,27,17,13,18,26,8,10,11,16,3,12,21,19,1,7,22
iter53,19,26,13,24,23,4,9,0,1,8,7,10,16,20,15,11,27,14,18,5,12,3,21,22,17,6,2,25
iter54,15,21,13,26,25,4,16,1,3,7,11,5,22,18,12,17,27,10,24,0,20,9,8,19,14,2,6,23
iter55,23,2,22,27,24,5,12,0,1,8,14,11,4,20,7,6,26,19,9,17,18,15,16,21,13,3,10,25
iter56,22,10,15,26,24,3,12,1,7,8,9,4,25,19,13,6,27,11,21,14,18,2,16,20,17,0,5,23
iter57,22,23,12,26,20,4,15,0,1,6,11,8,24,16,5,9,27,10,25,3,14,13,17,21,18,2,7,19
iter58,21,22,6,26,25,5,18,1,12,11,10,8,2,20,4,13,27,14,24,17,15,3,9,19,16,0,7,23
iter59,22,15,17,25,24,7,16,2,1,4,9,10,0,21,6,8,27,11,26,12,13,14,18,20,19,3,5,23
iter60,22,21,14,26,23,7,9,3,5,11,15,6,1,24,19,18,27,8,16,2,17,4,10,20,13,0,12,25
iter61,22,15,11,25,24,6,18,12,9,10,14,7,3,21,5,23,27,13,8,4,16,2,19,20,17,0,1,26
iter62,20,13,17,27,26,7,18,3,5,2,16,9,0,22,4,19,24,21,6,11,12,14,10,23,15,1,8,25
iter63,23,10,18,26,25,4,15,6,1,2,13,8,0,19,9,11,27,16,22,12,21,14,5,20,17,3,7,24
iter64,22,24,23,26,25,3,12,10,2,7,15,8,4,21,14,13,27,0,20,6,17,5,9,19,16,1,11,18
iter65,22,25,14,26,24,6,17,2,4,3,13,5,0,19,12,18,27,11,15,8,9,7,20,21,16,1,10,23
iter66,22,23,16,26,24,4,19,7,5,11,10,9,0,21,14,12,27,17,1,6,20,3,13,18,15,2,8,25
iter67,17,26,18,24,22,3,16,1,5,4,10,7,2,21,9,14,27,13,23,12,19,11,6,20,15,0,8,25
iter68,19,10,8,25,24,4,15,0,11,2,16,9,26,21,1,6,27,14,20,22,5,3,13,18,17,7,12,23
iter69,17,22,19,25,24,6,15,7,0,3,14,10,26,21,8,11,27,9,4,12,18,2,13,20,16,1,5,23
iter70,25,12,5,27,26,9,19,7,16,8,10,3,1,22,4,13,24,20,21,2,14,11,15,17,18,0,6,23
iter71,18,14,12,23,22,5,13,0,3,11,6,7,26,16,8,15,25,9,27,1,20,17,10,19,21,4,2,24
iter72,19,21,15,26,24,4,16,1,2,3,9,7,23,18,8,14,27,5,12,22,6,13,10,20,17,0,11,25
iter73,17,19,18,26,25,3,13,1,4,2,11,5,22,23,9,6,27,7,16,21,14,12,8,20,15,0,10,24
iter74,22,25,10,27,23,5,13,11,1,4,12,6,0,21,9,7,24,18,20,3,16,19,17,15,14,2,8,26
iter75,21,9,19,26,24,5,17,3,4,8,14,6,2,23,11,15,27,13,25,1,18,10,12,20,16,0,7,22
iter76,21,24,13,26,23,5,12,8,1,6,9,7,25,19,16,20,27,2,10,14,17,3,11,18,15,0,4,22
iter77,18,19,20,26,23,4,13,1,14,3,11,9,0,22,10,12,27,7,21,24,8,5,16,15,17,2,6,25
iter78,22,15,10,26,23,4,13,8,5,18,9,2,0,20,6,17,27,12,21,7,24,11,14,19,16,1,3,25
iter79,21,24,19,26,23,8,15,4,9,6,12,7,0,10,3,13,27,17,22,2,18,11,14,20,16,1,5,25
iter80,21,22,20,26,23,5,12,3,2,6,13,10,4,19,8,9,27,14,7,11,24,17,18,16,15,0,1,25
iter81,18,10,5,25,22,3,14,4,2,9,6,8,26,24,21,13,27,17,12,1,19,11,16,20,15,0,7,23
iter82,24,23,21,26,20,10,17,1,8,7,11,6,22,19,4,14,27,13,5,9,18,3,12,15,16,0,2,25
iter83,21,24,9,26,25,2,15,0,7,1,8,11,14,18,16,10,27,6,22,13,20,4,12,19,17,5,3,23
iter84,23,22,4,26,25,5,16,8,1,9,13,14,3,20,12,19,27,18,10,11,17,2,6,21,15,0,7,24
iter85,21,22,6,26,23,5,13,2,1,11,15,7,25,20,8,12,27,9,16,0,18,4,19,17,14,3,10,24
iter86,23,21,16,27,25,6,9,2,17,3,8,5,4,19,14,13,24,12,26,11,22,1,10,18,15,0,7,20
iter87,19,14,21,27,23,7,13,2,3,4,10,9,0,18,17,8,26,11,25,5,12,15,24,20,16,1,6,22
iter88,24,18,23,27,25,4,17,1,7,10,16,8,0,22,9,12,21,11,5,3,19,13,6,20,15,2,14,26
iter89,22,21,3,25,23,6,13,1,0,7,12,8,24,20,17,14,27,18,9,2,15,5,11,19,16,10,4,26
iter90,22,10,20,26,24,5,14,13,2,16,4,8,7,19,6,23,27,11,9,3,21,1,12,17,18,0,15,25
iter91,21,24,20,26,23,6,12,4,0,5,11,10,7,17,2,22,27,15,13,18,8,3,14,16,19,1,9,25
iter92,16,23,20,26,22,4,18,5,7,9,15,3,1,19,13,17,27,6,25,21,10,2,11,12,14,0,8,24
iter93,23,20,16,25,22,5,12,0,9,2,10,8,1,19,11,4,27,14,26,13,17,7,18,21,15,3,6,24
iter94,20,24,6,26,23,8,12,7,4,0,13,9,15,17,5,10,27,11,19,22,21,2,18,16,14,1,3,25
iter95,21,26,17,25,24,7,14,0,3,5,9,8,10,20,11,18,27,6,15,22,12,4,16,19,13,1,2,23
iter96,18,23,21,26,22,4,15,2,6,12,17,7,0,13,3,9,27,10,24,5,20,11,16,19,14,1,8,25
iter97,22,17,2,26,24,6,13,5,7,8,11,9,0,21,19,18,27,15,20,4,12,3,16,23,14,1,10,25
iter98,21,14,15,26,23,4,9,7,0,5,13,6,25,20,22,8,27,11,17,3,16,1,12,19,18,2,10,24
iter99,20,18,3,25,22,6,11,12,2,1,13,7,19,21,4,15,27,8,23,17,24,5,10,16,14,0,9,26
iter100,19,25,15,24,20,4,12,0,7,8,9,6,16,18,5,13,27,11,26,23,10,1,17,21,14,2,3,22
iter101,21,23,14,26,24,8,17,4,11,2,15,12,0,20,5,6,27,16,22,13,10,7,9,19,18,1,3,25
iter102,22,19,20,25,26,8,16,14,3,13,9,7,1,23,5,15,27,10,0,2,11,12,21,18,17,4,6,24
iter103,15,26,17,25,24,7,13,1,11,4,9,8,2,20,12,6,27,22,19,10,16,3,18,21,14,0,5,23
iter104,23,26,10,22,25,6,16,1,2,4,12,9,3,21,7,13,27,8,19,14,15,5,17,20,18,0,11,24
iter105,18,24,14,26,25,6,16,2,3,7,9,5,1,21,12,17,27,8,22,10,19,4,11,23,15,0,13,20
iter106,22,25,2,26,23,4,14,5,1,9,11,8,21,19,7,17,27,16,13,10,20,6,15,18,12,0,3,24
