,R:VERB:FORM,R:VERB:TENSE,M:NOUN,U:PREP,M:VERB:TENSE,R:PRON,R:SPELL,R:ADV,U:NOUN:POSS,R:ORTH,M:DET,U:OTHER,R:NOUN,U:ADV,M:ADJ,R:PREP,R:CONJ,U:NOUN,M:VERB:FORM,R:NOUN:NUM,R:NOUN:POSS,U:VERB:FORM,R:CONTR,M:ADV,U:DET,U:PUNCT,M:PRON,U:PART,R:NOUN:INFL,M:PART,M:CONJ,R:VERB:SVA,M:PUNCT,R:PUNCT,M:NOUN:POSS,U:VERB:TENSE,U:PRON,U:CONJ,R:WO,R:VERB,R:ADJ,M:PREP,R:VERB:INFL,U:ADJ,U:VERB,M:OTHER,U:CONTR,UNK,R:OTHER,R:PART,R:MORPH,R:DET,M:VERB,R:ADJ:FORM
0,29,26,28,38,23,22,44,2,3,36,21,48,18,16,40,25,50,34,13,31,52,37,39,9,20,11,41,14,0,53,8,32,42,47,49,4,51,7,19,17,45,24,1,5,10,15,30,6,35,12,27,46,43,33
1,35,30,18,37,7,21,12,3,1,42,26,41,32,25,11,28,27,6,53,19,47,48,2,9,36,29,14,20,4,31,16,40,38,39,45,10,46,52,34,15,51,49,0,8,33,23,24,13,22,50,17,43,44,5
2,39,33,13,45,6,24,3,37,41,40,42,44,23,7,34,22,47,8,43,19,20,11,4,26,30,10,18,14,1,53,17,36,38,25,48,2,52,9,12,27,49,35,0,32,46,21,31,15,28,16,29,51,50,5
3,43,15,11,27,9,21,33,4,2,49,24,36,22,13,41,16,47,12,51,29,30,32,0,6,28,14,38,45,3,53,35,31,37,39,52,5,46,44,10,17,48,42,1,8,18,20,25,7,26,34,19,40,50,23
4,48,19,3,25,33,37,16,41,18,45,24,39,28,13,50,29,47,38,51,14,49,5,4,21,30,11,2,53,0,52,23,36,35,8,27,1,44,40,32,22,43,15,9,6,34,17,26,20,31,10,12,42,46,7
5,35,15,5,31,41,6,36,10,29,50,20,38,7,13,42,34,30,14,47,28,4,52,11,8,32,17,19,26,1,53,24,44,27,45,49,3,51,48,9,18,39,16,0,2,37,21,25,12,23,46,33,43,40,22
6,42,17,3,13,11,40,36,20,0,30,38,37,18,19,47,25,39,26,49,21,6,46,43,8,28,16,12,51,2,53,9,24,33,35,45,1,29,50,10,31,34,15,52,5,32,14,27,7,23,4,22,41,44,48
7,40,14,5,39,19,35,2,18,4,49,25,43,41,24,34,17,3,28,46,27,31,50,10,1,15,36,13,52,8,53,45,37,23,20,47,12,33,51,22,29,42,16,0,6,32,11,30,7,26,38,21,44,48,9
8,47,21,3,34,32,7,8,5,1,44,10,39,11,16,40,28,29,33,12,15,43,37,48,2,14,26,46,38,50,53,19,18,30,41,49,4,35,31,27,20,45,9,0,13,42,22,23,17,25,51,24,36,52,6
9,39,41,9,22,4,2,21,32,3,49,16,45,23,14,48,40,13,20,31,26,52,46,8,6,19,47,10,34,1,53,15,28,42,25,51,7,29,50,11,36,43,18,0,12,24,35,30,5,37,38,17,33,44,27
10,32,28,11,36,10,16,43,14,2,39,23,40,17,24,49,29,52,18,7,25,53,44,13,50,31,8,15,1,3,48,5,37,38,35,51,4,34,45,12,33,30,20,0,9,42,21,27,6,22,26,19,41,47,46
11,38,19,5,31,36,39,6,15,8,53,25,42,17,16,46,32,2,18,7,33,30,49,0,22,20,12,13,48,41,27,1,28,29,40,43,4,21,51,35,24,44,45,3,10,11,14,26,9,23,34,37,47,52,50
12,37,25,15,44,7,40,5,21,3,50,19,42,23,14,51,35,46,32,49,17,27,52,0,34,24,16,6,47,2,53,10,30,31,38,36,1,43,39,8,20,33,18,4,11,29,12,22,9,28,48,26,45,41,13
13,39,14,9,21,41,47,36,20,2,34,13,37,25,10,48,31,35,30,7,16,52,42,0,3,27,17,50,28,11,53,5,38,22,15,46,4,43,33,12,23,26,45,1,8,40,19,24,6,32,49,18,44,51,29
14,34,19,10,35,32,37,2,15,4,41,26,46,14,13,52,30,28,24,44,29,51,1,0,6,22,8,43,12,5,53,21,27,38,40,42,9,49,48,20,11,50,36,33,18,31,16,25,7,23,47,17,39,45,3
15,38,25,7,28,13,15,11,4,2,21,22,46,30,18,40,33,52,8,10,26,49,36,1,5,9,34,16,12,14,53,35,31,45,41,47,3,48,51,43,23,50,37,0,6,42,17,27,20,29,39,19,44,32,24
16,26,32,8,33,45,30,11,7,12,24,15,36,31,6,51,37,35,23,29,20,53,34,52,19,17,18,2,16,0,50,49,21,38,9,14,3,40,48,44,13,47,39,1,5,28,27,25,4,22,42,10,41,46,43
17,42,12,4,27,9,11,45,33,2,48,21,40,18,19,17,14,51,35,50,28,53,47,3,5,30,20,29,41,0,49,8,25,36,34,37,15,39,52,16,13,43,24,1,31,44,10,26,6,22,32,23,38,46,7
18,35,21,13,32,17,36,11,5,4,19,25,39,18,12,52,23,43,8,48,20,38,31,50,3,33,14,10,9,1,53,29,37,41,42,44,2,51,34,15,24,40,16,0,7,26,30,27,6,28,47,22,46,49,45
19,47,24,2,13,30,10,37,38,1,46,27,41,18,11,44,36,22,31,39,19,43,28,52,8,25,26,9,50,0,53,14,15,42,40,32,3,34,49,35,12,33,20,7,5,51,16,23,21,29,6,17,48,45,4
20,44,24,7,38,3,19,12,9,8,52,20,43,27,40,51,35,50,26,39,22,36,49,11,4,37,14,2,13,1,53,18,30,42,32,41,10,33,31,5,28,17,46,0,16,47,25,29,23,34,6,21,48,45,15
21,34,32,20,19,8,21,9,17,16,40,24,44,22,14,46,26,7,28,53,27,6,50,2,11,29,18,49,36,0,37,15,42,30,10,48,3,51,52,13,38,33,35,1,5,45,39,25,4,23,31,12,41,47,43
22,38,15,13,24,30,11,9,29,8,45,34,44,28,16,51,25,52,39,7,27,49,4,20,18,21,14,22,50,1,53,5,42,40,26,46,2,6,32,10,12,43,36,0,3,37,23,33,19,31,47,35,48,41,17
23,35,32,5,37,10,6,9,15,0,12,17,43,24,30,51,18,46,23,36,25,2,29,3,4,16,8,22,52,13,53,39,33,31,48,44,1,50,49,14,41,38,26,21,11,40,34,27,7,28,47,20,42,45,19
24,36,25,10,37,22,8,7,18,14,40,12,42,29,19,20,28,52,31,50,13,44,3,2,6,33,24,30,16,51,53,27,39,34,41,49,1,48,38,45,15,47,32,0,9,35,21,26,5,23,11,17,43,46,4
25,41,26,7,22,37,23,8,10,1,18,16,39,25,36,45,19,6,21,4,15,34,52,49,42,20,29,11,43,0,53,12,35,33,44,50,2,46,51,14,31,47,38,48,13,27,30,28,5,24,17,9,40,32,3
26,39,25,9,33,20,28,1,10,34,45,18,40,29,14,49,24,51,36,46,17,35,53,2,5,19,13,8,11,31,52,4,22,37,21,38,0,44,50,15,16,48,43,32,6,26,12,23,3,30,47,27,42,41,7
27,41,28,5,31,6,47,32,15,1,49,22,45,40,44,51,36,3,33,34,14,48,52,0,18,16,12,10,42,50,53,27,23,26,39,38,4,21,43,19,24,25,37,9,7,46,17,29,8,20,13,11,30,35,2
28,42,28,4,32,6,27,31,5,0,50,23,37,38,17,43,21,24,11,12,25,47,52,7,3,26,20,10,46,51,53,2,30,34,15,44,1,49,39,8,33,18,35,9,16,40,19,22,14,29,48,36,41,45,13
29,39,25,3,23,15,24,34,13,22,40,21,36,27,8,46,30,28,11,51,18,53,38,33,2,26,17,41,35,44,52,42,19,37,20,49,1,50,32,10,16,48,9,0,4,45,14,29,7,31,6,12,47,43,5
30,33,21,4,41,22,12,5,13,9,32,20,37,23,34,50,16,49,10,47,18,8,3,52,19,27,26,1,36,6,51,48,38,40,45,53,0,42,31,2,15,43,39,29,7,24,35,28,14,30,11,25,44,46,17
31,36,31,9,21,10,43,20,17,4,41,16,46,23,26,50,37,52,14,3,24,44,8,1,7,35,33,40,15,11,12,6,28,39,48,25,13,53,51,42,32,49,34,0,5,19,22,30,27,29,38,18,47,45,2
32,29,17,5,23,38,7,4,44,11,47,32,39,24,16,33,27,46,37,49,14,51,50,1,26,19,20,43,2,3,53,21,34,45,22,31,15,52,10,8,35,36,12,0,9,41,13,30,6,28,18,25,42,48,40
