,R:VERB:FORM,R:VERB:TENSE,M:NOUN,U:PREP,M:VERB:TENSE,R:PRON,R:SPELL,R:ADV,U:NOUN:POSS,R:ORTH,M:DET,U:OTHER,R:NOUN,U:ADV,M:ADJ,R:PREP,R:CONJ,U:NOUN,M:VERB:FORM,R:NOUN:NUM,R:NOUN:POSS,U:VERB:FORM,R:CONTR,M:ADV,U:DET,U:PUNCT,M:PRON,U:PART,R:NOUN:INFL,M:PART,M:CONJ,R:VERB:SVA,M:PUNCT,R:PUNCT,M:NOUN:POSS,U:VERB:TENSE,U:PRON,U:CONJ,R:WO,R:VERB,R:ADJ,M:PREP,R:VERB:INFL,U:ADJ,U:VERB,M:OTHER,U:CONTR,UNK,R:OTHER,R:PART,R:MORPH,R:DET,M:VERB,R:ADJ:FORM
iter0,43,27,40,33,41,5,47,17,26,36,21,22,29,38,37,9,1,6,48,28,2,45,50,15,12,11,23,13,52,31,7,39,18,32,8,42,20,51,49,19,16,24,53,30,35,3,0,46,25,4,34,10,44,14
iter1,44,36,41,31,15,3,46,11,19,21,22,40,28,14,30,17,10,5,50,26,0,32,51,7,12,18,6,1,49,9,25,42,13,35,2,27,45,47,39,29,24,33,52,34,38,8,53,43,23,4,37,20,48,16
iter2,47,24,33,44,40,6,51,16,21,35,27,31,30,32,38,14,15,7,50,26,0,9,20,1,12,23,42,2,46,5,10,45,17,19,3,34,22,48,41,18,36,29,53,37,25,8,52,43,28,4,39,13,49,11
iter3,48,37,40,38,11,3,49,29,35,31,20,27,22,24,50,16,45,7,52,25,0,47,8,4,10,12,18,2,44,32,30,43,14,23,5,34,39,33,42,19,21,41,53,26,17,6,1,46,28,13,36,15,51,9
iter4,43,25,39,33,19,3,49,16,6,35,22,34,26,21,30,24,50,4,36,27,0,11,47,5,8,9,37,12,51,2,13,38,15,18,14,28,48,46,44,32,10,42,52,23,31,7,53,45,29,1,40,20,41,17
iter5,47,30,40,28,31,9,51,22,34,23,19,35,27,38,21,12,7,6,50,25,0,29,49,11,10,14,1,5,44,3,37,43,18,20,8,32,41,52,36,16,13,42,46,33,24,2,53,45,26,4,39,15,48,17
iter6,41,29,38,34,24,3,50,14,21,23,19,25,15,20,45,16,10,8,44,27,0,13,48,12,7,18,6,2,52,36,33,43,9,32,4,22,37,49,47,28,11,42,53,26,40,5,51,39,30,1,35,17,46,31
iter7,49,24,19,35,26,1,46,37,11,17,36,34,33,28,45,18,7,9,52,22,0,50,48,23,8,16,12,2,32,31,27,44,15,43,3,40,14,51,13,30,25,38,6,20,47,4,53,42,29,5,39,10,41,21
iter8,43,26,29,39,30,4,52,20,10,35,28,38,31,22,42,18,3,11,40,27,0,32,34,5,13,9,8,2,51,1,12,47,23,24,15,46,16,50,33,17,36,44,37,21,41,7,53,48,25,6,45,19,49,14
iter9,45,22,46,39,25,7,32,42,10,33,21,34,18,35,19,24,11,9,49,29,1,44,52,0,12,8,27,4,51,20,36,43,15,40,5,16,41,47,37,17,14,31,50,23,30,2,53,38,26,3,28,13,48,6
