,VERB:FORM,VERB:TENSE,NOUN,PREP,PRON,SPELL,ADV,NOUN:POSS,ORTH,DET,OTHER,ADJ,CONJ,NOUN:NUM,CONTR,PUNCT,PART,NOUN:INFL,VERB:SVA,WO,VERB,VERB:INFL,UNK,MORPH,ADJ:FORM
0,22,9,5,19,13,2,4,24,14,16,17,8,6,10,23,18,12,1,21,7,20,0,3,15,11
1,20,10,8,19,9,6,3,17,24,16,14,18,23,12,2,15,22,1,13,7,21,0,4,5,11
2,23,6,15,17,11,3,13,21,8,18,19,22,10,9,1,16,20,2,12,5,14,0,7,4,24
3,18,5,8,20,14,6,19,10,23,11,22,7,12,16,24,13,21,3,9,4,17,0,1,15,2
4,19,9,6,15,10,3,1,21,2,14,11,18,20,8,24,12,23,17,16,4,13,0,5,7,22
5,18,9,10,14,21,2,13,19,23,17,11,7,22,6,3,16,12,1,15,5,20,0,4,8,24
6,20,3,6,19,21,1,5,4,10,12,14,9,22,17,24,13,18,8,16,11,15,0,2,7,23
7,21,8,6,14,15,2,10,23,22,11,13,20,17,9,0,16,19,1,18,4,12,3,5,7,24
8,13,4,8,18,9,10,7,3,23,20,15,14,5,19,0,12,22,2,21,16,17,1,6,11,24
9,22,7,3,17,18,2,9,20,16,14,19,23,4,11,5,13,21,0,15,8,24,1,12,10,6
10,21,10,17,14,23,3,6,20,24,16,18,9,4,15,2,12,22,1,11,5,19,0,7,13,8
11,16,11,9,15,8,3,12,22,5,13,14,21,6,10,2,18,24,1,17,20,19,0,4,7,23
12,22,6,7,11,17,1,4,15,24,8,10,19,5,12,23,9,20,21,18,2,16,0,3,13,14
13,16,13,6,11,5,22,2,19,23,10,12,3,17,8,24,15,7,1,21,14,20,0,4,9,18
14,23,13,12,16,8,2,9,21,22,11,18,15,4,10,1,17,7,24,19,20,14,0,6,5,3
15,21,8,9,14,17,2,5,6,22,18,11,23,13,16,24,15,10,0,19,3,7,1,4,12,20
16,17,13,6,14,8,11,4,10,2,15,12,22,20,9,24,16,23,3,21,7,19,0,1,5,18
17,17,9,8,22,12,2,7,6,23,13,18,24,14,15,1,16,21,10,19,4,20,0,3,11,5
18,20,7,12,17,15,5,6,14,22,13,19,4,9,11,2,18,21,0,23,8,16,1,3,10,24
19,23,6,10,12,17,3,7,15,11,14,13,19,4,9,1,18,24,2,22,21,20,0,5,8,16
20,22,7,5,16,10,2,4,14,23,17,12,8,15,9,3,13,18,0,11,21,20,19,1,6,24
21,21,9,7,18,16,6,5,17,20,12,13,24,15,10,2,19,22,1,23,4,11,0,3,8,14
22,16,11,7,8,22,2,3,21,23,9,14,13,12,5,17,15,24,1,20,4,19,0,6,10,18
23,23,14,9,11,16,15,8,24,13,10,17,21,22,18,0,20,19,1,7,3,12,2,4,6,5
24,16,8,18,17,20,2,7,6,23,15,13,12,10,11,3,21,22,1,19,24,14,0,4,9,5
25,21,7,10,16,20,1,6,24,23,15,17,13,12,14,2,19,22,11,9,4,18,0,5,8,3
26,11,16,13,18,23,1,17,19,22,12,7,20,5,15,2,14,21,8,9,6,10,0,3,4,24
27,20,8,9,12,21,10,6,3,24,13,17,16,15,11,0,22,14,1,18,4,19,2,5,7,23
28,20,10,13,12,19,6,4,22,24,18,14,21,16,8,0,9,7,2,15,5,17,1,3,11,23
29,19,11,10,12,21,1,3,23,20,15,13,6,5,14,0,16,9,4,17,8,18,24,2,7,22
30,24,9,6,15,14,20,3,12,18,13,17,23,16,11,1,19,7,2,21,4,22,8,0,10,5
31,22,10,4,3,7,5,14,24,13,16,20,9,6,15,11,21,18,1,8,17,23,0,2,12,19
32,21,9,8,15,10,7,3,6,24,14,17,18,19,11,5,13,12,0,23,22,20,1,2,16,4
33,11,6,9,18,21,3,12,23,15,16,13,22,24,8,1,20,14,0,5,7,17,2,4,10,19
34,20,7,4,9,22,24,5,21,19,12,14,23,6,10,1,17,18,2,11,15,16,0,3,8,13
35,24,8,9,14,12,2,19,20,22,15,13,21,16,18,0,23,4,1,10,3,11,5,6,17,7
36,19,8,13,20,10,7,5,22,16,15,12,21,17,14,1,9,23,0,11,4,18,3,2,6,24
37,18,15,12,10,20,0,5,22,19,14,13,7,6,8,1,9,16,2,17,21,11,24,3,4,23
38,23,12,5,17,18,4,8,24,6,9,16,21,22,13,0,15,20,3,11,10,19,2,14,7,1
39,22,6,8,19,18,11,4,13,23,12,16,20,7,14,2,17,5,0,24,3,21,1,10,9,15
40,13,10,6,19,17,2,18,22,20,11,15,9,4,5,24,14,12,0,16,8,21,1,3,7,23
41,20,9,7,13,19,2,6,15,21,17,14,18,24,11,1,10,23,0,22,5,12,16,3,8,4
42,21,11,9,19,22,1,12,13,18,15,10,24,17,8,6,20,23,5,14,3,16,0,2,4,7
43,18,10,7,14,21,3,9,23,22,13,17,24,6,8,2,12,15,1,19,5,16,0,4,11,20
44,19,9,7,18,20,0,4,22,21,8,13,17,23,12,5,11,15,3,16,14,10,24,2,6,1
45,13,9,7,16,4,10,5,14,22,11,20,15,21,12,0,17,24,2,23,6,18,19,3,8,1
46,12,8,5,16,10,6,3,22,20,14,15,21,23,9,13,18,19,0,7,4,17,1,2,11,24
47,19,12,6,13,11,2,3,9,21,14,17,20,7,10,24,18,22,1,15,4,16,0,5,8,23
48,20,16,5,11,22,15,7,18,24,8,17,23,6,12,3,19,4,1,13,9,21,0,2,10,14
49,18,6,8,10,13,22,5,20,21,7,17,16,12,11,2,9,24,1,14,3,19,0,4,15,23
50,14,5,6,22,17,3,7,15,23,18,16,19,4,10,24,20,12,1,2,11,21,8,0,13,9
51,14,9,7,20,18,12,4,24,21,16,19,15,5,8,1,10,11,2,13,23,17,0,3,6,22
52,17,6,9,14,8,4,3,20,23,12,15,13,21,10,24,16,7,0,18,19,11,1,2,5,22
53,20,7,12,15,10,2,6,3,24,11,16,14,23,9,0,18,8,17,19,4,21,1,5,13,22
54,19,2,14,17,11,4,13,24,22,7,15,6,9,5,18,12,21,0,16,10,20,1,3,8,23
55,24,10,6,14,22,20,11,21,17,13,15,19,9,5,2,16,18,1,12,23,7,0,3,8,4
56,22,9,7,14,23,3,8,6,24,18,15,11,16,17,2,20,10,1,13,12,19,0,4,5,21
57,18,9,6,11,20,2,7,23,19,16,15,14,10,4,24,13,12,1,21,5,17,0,3,8,22
58,22,8,16,14,13,1,6,23,17,15,11,7,18,10,0,19,5,2,12,4,20,24,9,3,21
59,21,9,6,19,13,5,14,22,16,11,18,7,12,10,2,15,17,1,23,3,20,0,4,8,24
60,20,12,8,17,5,4,6,21,23,19,16,18,15,13,0,14,24,2,22,10,11,1,3,9,7
61,21,10,6,20,13,3,11,17,24,16,19,14,4,8,2,18,23,1,15,22,12,0,9,7,5
62,16,11,14,12,6,4,3,23,15,13,10,19,22,8,0,17,9,1,20,5,18,24,2,7,21
63,23,9,8,17,24,3,13,20,21,18,14,22,4,10,11,16,15,1,7,6,19,0,2,12,5
64,21,12,9,13,19,1,3,15,24,11,16,20,23,7,8,17,6,0,18,2,10,14,4,5,22
65,19,9,13,20,24,5,2,10,3,15,16,22,12,14,6,17,7,0,23,4,18,1,8,11,21
66,18,5,13,15,20,6,4,16,23,8,12,19,3,11,2,17,24,22,9,1,14,0,7,10,21
67,21,15,6,10,7,4,5,20,24,16,12,19,23,14,0,13,17,1,8,18,9,2,3,11,22
68,22,6,8,16,10,3,5,9,20,13,11,21,14,7,24,19,15,1,12,2,18,0,4,17,23
69,19,12,11,17,7,2,3,20,16,8,14,18,22,10,0,15,5,1,23,6,13,24,9,4,21
70,18,5,11,9,15,1,4,21,22,12,13,7,19,6,24,10,23,20,16,8,14,0,17,3,2
71,15,5,12,14,9,16,3,20,18,10,11,7,24,6,1,17,23,22,13,21,19,0,4,8,2
72,20,15,10,16,17,6,3,22,24,13,18,19,11,9,2,21,8,1,14,7,12,0,4,5,23
73,21,7,9,12,8,2,10,3,15,18,16,20,19,13,0,17,11,14,23,4,22,1,5,6,24
74,20,8,9,18,22,3,6,16,10,13,15,21,14,11,1,24,23,0,12,4,17,2,5,7,19
75,20,8,7,19,9,2,5,11,21,15,17,22,16,10,0,13,23,1,14,12,18,24,3,4,6
76,12,3,6,18,22,1,4,7,23,16,11,19,13,8,15,17,20,0,14,10,9,24,2,5,21
77,20,15,13,7,23,8,4,21,22,9,16,18,6,12,24,10,19,2,5,3,17,0,1,14,11
78,20,9,11,17,14,6,8,24,21,16,15,12,18,10,1,13,7,2,23,4,19,0,3,5,22
79,21,5,11,13,8,2,20,14,15,10,18,19,22,9,0,7,12,23,16,3,17,24,6,1,4
80,20,17,13,10,19,5,8,24,22,15,9,11,12,6,1,21,14,2,23,4,16,0,3,7,18
81,15,11,10,9,19,1,4,24,22,12,13,17,5,14,6,18,20,23,21,3,7,0,2,8,16
82,20,9,6,19,13,1,5,21,24,15,18,11,12,10,3,16,22,4,14,8,17,2,0,7,23
83,18,3,6,12,4,11,8,21,15,20,17,23,7,16,22,13,2,24,9,5,10,0,1,14,19
84,23,8,7,18,17,20,13,9,16,10,15,5,11,14,0,12,21,1,19,4,22,2,3,6,24
85,21,10,15,16,20,2,8,24,23,13,14,22,19,11,3,17,9,1,18,6,12,0,7,5,4
86,21,10,6,14,12,4,5,23,11,15,16,8,2,7,1,17,9,24,22,18,20,0,13,3,19
87,16,5,6,15,20,0,3,14,11,9,13,22,18,7,1,8,4,23,17,12,21,19,2,10,24
88,19,8,4,14,15,6,7,22,10,13,18,16,5,12,3,21,24,0,17,9,20,23,2,11,1
89,21,13,9,17,4,1,6,14,24,16,18,20,11,10,15,19,7,3,22,5,23,0,2,12,8
90,22,15,7,19,10,5,18,3,11,12,16,14,8,9,0,13,24,1,17,4,20,21,2,6,23
91,21,11,6,13,20,2,5,23,24,16,12,15,9,8,0,14,22,1,19,3,10,17,7,4,18
92,22,10,4,11,18,2,19,21,24,16,15,8,13,7,1,9,23,5,14,12,17,0,3,6,20
93,17,6,7,19,9,3,13,11,4,15,14,21,22,12,1,8,24,16,23,5,18,0,2,10,20
94,15,9,5,12,13,2,11,20,3,14,10,16,7,8,22,18,24,1,19,21,17,0,4,6,23
95,17,10,7,11,16,24,4,8,21,13,15,19,9,6,3,14,18,1,12,2,20,23,0,5,22
96,20,10,11,14,13,4,2,24,22,19,16,23,7,9,3,12,17,1,21,8,18,0,5,6,15
97,18,4,9,12,11,6,10,21,19,8,14,20,13,7,3,17,22,2,15,23,16,0,1,5,24
98,21,8,6,12,17,2,7,23,3,13,19,4,11,10,14,16,15,1,20,18,22,0,9,5,24
99,22,8,9,16,19,5,3,21,20,12,13,10,17,6,0,15,24,18,11,4,14,1,2,7,23
