,weights,perc_of_appearance
Smod,0.414,0.13%
Vform,0.237,3.19%
Um,0.189,2.38%
SVA,0.174,3.29%
Vm,0.146,0.93%
Vt,0.136,7.31%
Wform,0.127,5.08%
Mec,0.122,6.51%
Sfrag,0.107,0.36%
Rloc-,0.098,11.27%
WOinc,0.094,1.56%
Trans,0.090,2.85%
Nn,0.087,8.43%
V0,0.086,1.01%
Spar,0.078,1.12%
Srun,0.077,1.86%
Prep,0.072,5.55%
Wtone,0.052,1.34%
Ssub,0.049,0.74%
Wci,0.042,12.31%
Pref,0.034,2.09%
WOadv,0.034,0.71%
Others,0.034,3.28%
Wa,0.029,0.13%
ArtOrDet,0.027,14.73%
Pform,0.004,0.38%
Npos,-0.011,0.56%
Cit,-0.048,0.88%
