,number_of_sentences,perc_of_sentences,total_appearance,perc_of_appearance,weights,regularized_weights,upper,lower
Vt,2898,0.131637519872814,3258,0.07313952183185543,0.13629208360990852,0.3123779296875,0.17093656606226404,0.10225547739669966
Vm,394,0.017896888485123778,413,0.009271523178807948,0.14648506374460518,0.3376312255859375,0.2504096010337848,0.04332399204533621
V0,418,0.01898705428117193,449,0.01007969469076215,0.08592065797617227,0.27734375,0.1714717236354423,0.0012344119543041686
Vform,1334,0.060595048830342946,1423,0.031945223930856435,0.23653978481032503,0.4167022705078125,0.29249488066029555,0.1826071201040239
SVA,1403,0.06372927549398137,1467,0.0329329891121338,0.1743775320600186,0.35260009765625,0.22403035987581907,0.12534622944884438
ArtOrDet,5530,0.25119236883942764,6563,0.14733415647098438,0.02730810911940627,0.2113800048828125,0.05091917603052196,0.004408445077763531
Nn,3294,0.14962525550760844,3754,0.08427432932989112,0.0868898101970146,0.2746124267578125,0.11919448599700234,0.05625845388149443
Npos,222,0.010084033613445379,248,0.005567403749017847,-0.010825542060633077,0.1737213134765625,0.09566447135411472,-0.1182320204556029
Pform,167,0.007585736997501704,171,0.003838814681782467,0.004464339477679659,0.185577392578125,0.1387567874175314,-0.12958379761116814
Pref,817,0.037111060640472406,929,0.020855314850151532,0.034227505700648,0.2237548828125,0.09793379941088025,-0.026980855161621176
Prep,2328,0.10574608221667045,2473,0.05551689302952071,0.07244406797744825,0.260284423828125,0.11041332840888139,0.03467044963617726
Wci,4599,0.20890302066772656,5482,0.12306656190369289,0.04172800535497964,0.227142333984375,0.06689211166552904,0.017390397898606663
Wa,57,0.002589143765614354,58,0.0013020541025928836,0.029100515523993165,0.2147216796875,0.2904233642026972,-0.22818392339196844
Wform,2095,0.09516238928003634,2262,0.05078011000112246,0.12736072177913926,0.3131256103515625,0.1681127210102827,0.08625500480513927
Wtone,556,0.025255507608448784,599,0.013447075990571333,0.052490710949023085,0.2373504638671875,0.12489650137011109,-0.01925700606715538
Srun,775,0.035203270497388146,828,0.018587944774946682,0.07698427657823181,0.2635498046875,0.14191291708259252,0.013406611054127788
Smod,58,0.0026345673404496936,58,0.0013020541025928836,0.41387753487541357,0.5985260009765625,0.7155850588397905,0.1190966817149827
Spar,463,0.021031115148762207,499,0.011202155124031879,0.07755953963973213,0.260894775390625,0.15523801499610554,-0.0014955241770815393
Sfrag,158,0.007176924823983647,161,0.0036143225951285217,0.10692825673992909,0.2938385009765625,0.25044127119243575,-0.02558150009610356
Ssub,311,0.014126731773790598,328,0.007363340442249411,0.04931773751228307,0.239105224609375,0.15578768582824679,-0.05704132898400915
WOinc,648,0.029434476493300023,696,0.015624649231114604,0.09422794318732976,0.279266357421875,0.16007659981949815,0.028528386318354103
WOadv,289,0.013127413127413128,316,0.0070939499382646765,0.03379152958653523,0.2182769775390625,0.12943518714174565,-0.05836444669158661
Trans,1192,0.054144901203724734,1270,0.02851049500505107,0.08999416116036002,0.275543212890625,0.14281712095654886,0.036119000616742857
Mec,2486,0.1129230070406541,2899,0.06508025592097878,0.12198424583640796,0.3056793212890625,0.1551426842226669,0.0888226031519221
Rloc-,4072,0.1849647967295026,5022,0.11273992591761141,0.0976800755893312,0.282379150390625,0.12212291393368445,0.07307443474625647
Cit,379,0.017215534862593685,394,0.00884498821416545,-0.0475198593501545,0.138519287109375,0.04211714785751286,-0.13592342348711065
Others,1380,0.06268453327276857,1463,0.03284319227747222,0.033515907559166884,0.2194976806640625,0.08079174089057771,-0.014460627947483345
Um,1030,0.04678628208039973,1062,0.02384105960264901,0.1889123197427543,0.3732452392578125,0.2527202968429358,0.12692210739630785
TotalMistakes,22015,1.0,44545,1.0,0.0,-178276705074.18533,,
