,R:VERB:FORM,R:VERB:TENSE,M:NOUN,U:PREP,M:VERB:TENSE,R:PRON,R:SPELL,R:ADV,U:NOUN:POSS,R:ORTH,M:DET,U:OTHER,R:NOUN,U:ADV,M:ADJ,R:PREP,R:CONJ,U:NOUN,M:VERB:FORM,R:NOUN:NUM,R:NOUN:POSS,U:VERB:FORM,R:CONTR,M:ADV,U:DET,U:PUNCT,M:PRON,U:PART,R:NOUN:INFL,M:PART,M:CONJ,R:VERB:SVA,M:PUNCT,R:PUNCT,M:NOUN:POSS,U:VERB:TENSE,U:PRON,U:CONJ,R:WO,R:VERB,R:ADJ,M:PREP,R:VERB:INFL,U:ADJ,U:VERB,M:OTHER,U:CONTR,UNK,R:OTHER,R:PART,R:MORPH,R:DET,M:VERB,R:ADJ:FORM
iter0,47,25,34,36,27,8,45,15,29,39,19,32,18,13,26,14,50,9,49,31,1,37,48,7,10,22,35,5,51,2,33,44,21,20,4,23,24,52,11,16,17,41,53,43,38,6,0,42,28,3,40,12,46,30
iter1,50,24,17,42,30,4,43,15,3,18,26,34,16,32,27,20,10,9,45,28,0,5,48,2,14,13,35,11,52,6,36,49,19,39,1,47,40,51,41,25,22,37,8,23,31,7,53,46,29,12,38,21,44,33
iter2,47,28,36,33,24,3,49,9,10,26,25,29,23,41,22,19,43,6,46,30,0,7,27,8,15,12,16,13,51,5,17,40,14,34,2,39,48,52,45,18,32,38,35,42,21,4,53,37,31,1,44,11,50,20
iter3,46,36,33,27,17,7,51,43,13,35,21,28,34,39,26,20,16,12,50,29,0,9,10,3,11,18,2,1,48,30,8,45,14,32,6,37,25,49,41,23,22,40,52,15,38,5,53,44,24,4,31,19,47,42
iter4,49,37,19,33,32,2,53,14,46,30,34,36,25,17,23,15,11,8,50,28,0,12,48,6,13,10,9,5,38,22,18,44,29,40,7,24,45,51,43,26,35,21,1,27,42,4,16,52,39,3,41,20,47,31
iter5,45,26,27,38,22,3,41,42,40,32,23,28,16,31,7,17,18,4,49,24,0,46,48,2,13,15,9,11,52,10,8,43,21,30,5,39,19,50,33,20,12,37,51,29,44,6,53,35,25,1,34,14,36,47
iter6,45,33,22,36,31,1,48,17,10,26,15,32,24,27,40,16,7,8,50,28,2,38,39,6,9,13,20,0,49,44,18,41,12,30,5,46,11,51,37,29,25,21,52,42,34,3,53,43,23,4,35,19,47,14
iter7,48,25,9,34,15,2,43,22,19,16,28,26,24,20,42,14,33,7,49,23,0,38,46,11,10,8,17,3,52,37,13,47,12,30,4,40,35,50,27,18,32,36,51,39,31,6,53,45,29,1,41,21,44,5
iter8,45,24,41,32,13,7,47,35,36,25,23,34,30,38,51,20,17,8,49,28,0,33,52,3,10,11,14,1,48,5,21,42,12,37,9,15,50,43,27,18,19,22,4,26,31,6,53,44,29,2,39,16,46,40
iter9,44,34,45,35,26,5,50,12,15,28,27,30,33,41,23,19,49,6,38,31,1,3,13,9,14,11,18,7,53,16,37,47,21,46,4,24,32,52,43,25,20,40,0,22,39,8,2,42,29,10,36,17,51,48
iter10,44,22,40,35,19,3,36,27,39,31,18,33,14,23,45,15,32,9,49,29,0,6,50,8,10,13,30,1,51,5,12,43,21,24,4,37,47,48,34,20,25,41,52,11,28,7,53,42,26,2,38,16,46,17
iter11,47,31,32,37,25,6,46,9,36,24,29,35,20,30,38,18,41,4,49,34,0,5,48,7,11,21,12,13,51,2,14,44,22,23,3,40,17,50,42,16,10,26,52,27,19,8,53,43,33,1,39,15,45,28
iter12,49,29,30,39,15,8,50,22,3,16,27,37,24,14,46,25,11,13,51,34,1,26,21,9,19,10,17,2,52,7,33,44,23,35,6,40,45,41,28,12,18,38,0,43,31,5,53,47,32,4,42,20,48,36
iter13,47,22,37,46,14,3,51,38,19,18,26,30,24,16,23,27,1,6,50,33,0,40,35,12,11,20,36,10,45,2,7,44,21,28,4,42,43,52,39,25,13,32,49,17,31,8,53,41,34,9,29,15,48,5
