,R:VERB:FORM,R:VERB:TENSE,M:NOUN,U:PREP,M:VERB:TENSE,R:PRON,R:SPELL,R:ADV,U:NOUN:POSS,R:ORTH,M:DET,U:OTHER,R:NOUN,U:ADV,M:ADJ,R:PREP,R:CONJ,U:NOUN,M:VERB:FORM,R:NOUN:NUM,R:NOUN:POSS,U:VERB:FORM,R:CONTR,M:ADV,U:DET,U:PUNCT,M:PRON,U:PART,R:NOUN:INFL,M:PART,M:CONJ,R:VERB:SVA,M:PUNCT,R:PUNCT,M:NOUN:POSS,U:VERB:TENSE,U:PRON,U:CONJ,R:WO,R:VERB,R:ADJ,M:PREP,R:VERB:INFL,U:ADJ,U:VERB,M:OTHER,U:CONTR,UNK,R:OTHER,R:PART,R:MORPH,R:DET,M:VERB,R:ADJ:FORM
iter0,46,30,43,35,16,9,50,11,37,27,24,26,12,33,23,13,45,5,47,25,0,38,48,1,14,17,36,3,51,6,10,44,19,29,8,31,34,49,42,22,32,39,52,7,20,2,53,40,21,4,28,18,41,15
iter1,43,27,22,33,30,4,42,23,16,36,26,21,18,37,32,20,5,7,50,28,0,15,48,8,11,17,13,31,51,3,9,44,19,38,2,24,39,47,46,29,10,41,53,35,34,1,52,45,25,12,40,14,49,6
iter2,50,33,41,38,15,6,49,24,37,31,25,30,18,34,8,16,12,5,47,28,0,7,14,2,19,11,22,9,44,21,10,42,20,17,3,43,48,51,45,27,39,36,52,35,26,4,53,40,29,1,32,23,46,13
iter3,46,22,45,37,11,2,49,39,3,34,20,32,25,29,43,18,38,15,48,26,0,9,51,5,13,19,17,1,50,10,7,40,16,21,8,27,36,31,47,35,42,33,52,24,23,4,53,41,28,6,30,14,44,12
iter4,44,26,42,36,28,6,51,9,12,37,21,23,34,31,18,20,14,13,52,29,0,35,40,5,15,19,22,4,53,1,32,43,16,30,11,49,46,50,38,24,27,41,7,8,33,10,2,45,25,3,39,17,48,47
iter5,42,26,17,33,16,1,48,34,10,19,29,24,27,38,39,14,47,3,50,25,0,7,41,13,9,11,5,8,49,28,12,43,15,22,6,37,35,51,40,23,20,32,53,30,44,2,52,45,21,4,31,18,46,36
iter6,43,33,37,32,18,6,47,31,17,24,19,28,22,39,12,15,0,9,49,21,1,14,50,4,13,16,11,2,51,3,7,41,20,25,5,26,35,48,38,23,42,44,52,27,36,8,53,45,30,10,40,29,46,34
iter7,47,34,19,21,20,5,51,18,17,26,22,31,24,37,35,27,2,14,28,32,0,4,33,29,12,11,49,8,52,6,13,44,15,36,7,38,45,50,48,30,10,46,53,25,42,9,1,40,23,3,39,16,43,41
iter8,47,23,42,37,24,4,35,16,45,32,25,27,31,21,43,18,5,7,17,29,0,9,50,19,12,15,8,14,51,1,36,39,20,13,6,40,33,46,38,26,44,28,52,30,41,3,53,49,22,2,34,11,48,10
iter9,47,16,28,39,10,2,50,25,12,36,22,29,13,33,46,23,3,5,43,26,0,15,52,24,6,17,9,8,51,38,45,44,18,35,7,34,37,40,42,14,30,32,49,27,20,4,53,41,21,1,31,11,48,19
iter10,48,25,13,30,33,10,44,39,15,37,28,26,29,35,38,18,16,8,51,27,2,19,17,5,12,21,20,3,50,1,7,49,14,36,6,42,46,52,47,22,11,40,0,23,41,9,53,34,31,4,43,24,45,32
iter11,48,25,33,21,23,4,47,41,40,38,19,26,31,27,43,17,51,13,46,22,0,35,9,10,11,20,7,12,53,6,8,42,14,45,5,30,34,52,15,18,24,36,50,39,29,3,1,44,28,2,37,16,49,32
iter12,49,28,21,31,23,0,12,33,34,32,27,37,18,25,7,15,16,5,50,35,1,13,51,6,11,10,30,3,38,17,42,47,20,41,4,39,44,52,29,19,26,43,45,22,36,8,53,48,24,2,40,14,46,9
iter13,47,29,15,40,20,4,49,37,10,25,18,34,24,28,43,21,38,9,51,33,1,26,45,3,12,19,22,13,52,8,23,41,11,30,2,35,48,50,36,16,17,42,0,27,39,7,53,46,31,5,32,14,44,6
iter14,49,22,30,28,25,3,46,14,41,35,23,36,31,33,47,16,5,7,51,21,0,15,50,9,8,10,12,4,48,11,13,45,20,26,6,32,37,38,40,17,24,39,52,34,29,2,53,43,19,1,42,18,44,27
iter15,48,29,43,44,21,1,46,11,34,26,19,32,20,16,24,15,7,6,50,23,0,25,30,14,10,12,37,4,52,3,49,45,28,33,9,40,27,47,51,18,36,42,2,35,31,8,53,41,22,5,39,17,38,13
iter16,46,29,24,41,19,2,51,35,49,33,16,34,23,10,26,12,6,1,52,25,0,50,3,8,13,32,36,22,47,21,39,45,15,17,27,18,31,53,42,30,20,37,48,7,38,4,11,43,28,5,40,9,44,14
