number_of_sentences,perc_of_sentences,total_appearance,perc_of_appearance,weights,regularized_weights,upper,lower,std,upper_rank,lower_rank,std_ranks,mean_rank
5444,0.13124397299903567,6112.0,0.07293207961433822,0.09072198403284829,323511557961.68646,0.1119379407273556,0.06976608937297168,2.243228189462677,22.0,15.0,0.01269075488293505,19.0723
745,0.01796046287367406,782.0,0.009331296835473247,0.08866058830068044,323511557961.68915,0.1475350441070114,0.029251149130779613,5.474133779877873,25.0,7.0,0.03607223723485251,17.8044
776,0.01870781099324976,839.0,0.010011455300462985,0.03078640246412096,323511557961.6297,0.086779491017214,-0.026223711196482757,5.590624691391831,18.0,1.0,0.03400447377909464,8.2166
2491,0.060053037608486015,2661.0,0.03175266097083671,0.13765462366912598,323511557961.7298,0.17011514609503237,0.10584621748290692,1.511707260020934,26.0,21.0,0.019330327051816,24.1454
2634,0.06350048216007714,2757.0,0.03289819101713522,0.12007497347443866,323511557961.71155,0.15181917000013395,0.08935821595340812,2.051529183316679,25.0,19.0,0.01902354503894712,22.6401
10416,0.2511089681774349,12334.0,0.14717674574006015,0.022360695598721697,323511557961.6164,0.03682441260854603,0.008342712880879205,2.1589957642385493,10.0,3.0,0.008608640556369913,5.9527
6192,0.14927675988428157,7055.0,0.08418452579829125,0.06289634104752297,323511557961.6567,0.081835116471913,0.0440082060331101,2.656363220645851,18.0,10.0,0.011607488746948825,13.9538
433,0.010438765670202507,489.0,0.005835043673333015,0.029044310545248173,323511557961.6231,0.09607849808703166,-0.03871164332221439,6.287325889438211,20.0,0.0,0.04110098484022743,8.1146
325,0.0078351012536162,335.0,0.003997422557395829,-0.05514654082605842,323511557961.5392,0.029033847376501568,-0.14159284727909574,2.7419784390107815,7.0,0.0,0.05186997093323833,1.0368
1548,0.03731918997107039,1764.0,0.02104911460073505,0.02094359349192565,323511557961.615,0.05873297437888079,-0.01647550435820485,3.927704468261328,13.0,1.0,0.022812136962761527,6.0681
4395,0.10595467695274831,4669.0,0.055713331105913796,0.06250417406072216,323511557961.6577,0.08666144401604614,0.03819885441739154,3.0472675875282107,19.0,9.0,0.014552566946413133,13.8355
8593,0.20716007714561235,10240.0,0.12218987160517397,0.014316434714443951,323511557961.6084,0.029527625671684345,-0.0012627951833663357,2.1293276661894946,8.0,1.0,0.009337051185192622,4.3713
109,0.002627772420443587,110.0,0.0013125865113837048,0.14422339642260243,323511557961.7386,0.2995439664108134,-0.00897203467281724,7.821601032397396,27.0,2.0,0.09428100719414848,20.6223
3923,0.09457569913211186,4225.0,0.05041525464178321,0.08991047738768326,323511557961.685,0.11492687149422914,0.06474411842724719,2.5344177950764157,23.0,14.0,0.015300287816065235,18.8738
1047,0.025241080038572807,1123.0,0.013400315020762731,0.04079680324521607,323511557961.6365,0.08735110315278265,-0.0031871346180652196,5.003468540922388,18.0,2.0,0.027436209231266717,9.7484
1475,0.03555930568948891,1574.0,0.01878191971743592,0.04497296868182297,323511557961.6395,0.08898545441635178,-0.0008455424727297058,5.016909645389282,19.0,2.0,0.02733470742815192,10.4681
109,0.002627772420443587,109.0,0.001300653906734762,0.3458438773276172,323511557961.94073,0.5128994769338602,0.1877078934325839,1.1186348108297006,27.0,26.0,0.09897339082630796,26.8204
883,0.021287367405978783,954.0,0.011383704835091404,0.07702376728728497,323511557961.6718,0.12512261621287357,0.030444212633321414,4.919610796597633,23.0,7.0,0.028793957543908514,16.2719
297,0.007160077145612343,302.0,0.003603646603980717,0.08691758081418599,323511557961.6815,0.17483370871959597,-0.0012157012040230793,7.327313799067158,26.0,2.0,0.05359446835120607,16.8943
575,0.013862102217936354,611.0,0.007290821440504033,0.06459590349262555,323511557961.6589,0.13148780994804873,-0.0018223087471394767,6.603224454007299,24.0,2.0,0.0405400572827417,13.9459
1218,0.02936354869816779,1309.0,0.015619779485466088,0.03708303182423071,323511557961.63214,0.08564723997195664,-0.012704007196380302,5.256626005338405,18.0,1.0,0.030140302782715064,9.1452
545,0.013138862102217937,594.0,0.0070879671614720065,0.05386964720748358,323511557961.648,0.11148902736179417,-0.004709920765611292,6.092170613993012,22.0,2.0,0.035226820862132184,11.9811
2260,0.05448408871745419,2414.0,0.02880530762254785,0.0326689227072854,323511557961.62616,0.06432064344040392,0.00010562074161354733,3.796576582923094,14.0,2.0,0.019413980693388174,7.9425
4702,0.11335583413693347,5490.0,0.06550999952269582,0.09997783415818134,323511557961.694,0.12101093625408582,0.07899688572092768,2.0040828101652886,23.0,17.0,0.012720186169476871,20.4547
7675,0.18502892960462874,9445.0,0.11270345090926448,0.06301003201478217,323511557961.65735,0.07836628300580174,0.0478678877516499,2.389541359759232,18.0,10.0,0.009239895433787778,13.9453
721,0.017381870781099325,753.0,0.008985251300653906,0.013964548271856695,323511557961.6084,0.07222193616182265,-0.04354005893137764,5.017798876001309,16.0,0.0,0.035267465303846356,5.6962
2596,0.06258437801350049,2745.0,0.03275499976134791,0.019477613328940192,323511557961.614,0.05009316905205631,-0.010368052458557538,3.2924364458558655,11.0,1.0,0.018456118777090576,5.5535
1944,0.04686595949855352,2009.0,0.023972602739726026,0.14323932493775005,323511557961.73724,0.1814350310006778,0.10622008930016306,1.5540736662076222,26.0,22.0,0.022717233486299244,24.4248
41480,1.0,83804.0,1.0,0.0,-501788263035.59436,,,,,,,
