number_of_sentences,perc_of_sentences,total_appearance,perc_of_appearance,weights,regularized_weights,upper,lower,std,upper_rank,lower_rank,std_ranks,mean_rank
67,0.004376224689745264,67.0,0.0018756998880179172,-0.14908426062640923,-89138352537.15724,0.03795708678347652,-0.33596350469998787,14.47219792256864,47.0,0.0,0.11373505514587627,11.7027
803,0.052449379490529066,841.0,0.023544232922732364,-0.014648413099459724,-89138352537.02219,0.04227999883956373,-0.06993124941133,10.220841440409885,49.0,15.0,0.03387095549707823,30.8995
132,0.008621815806662313,132.0,0.0036954087346024638,0.1889800514197328,-89138352536.81744,0.33971986540639815,0.0434209152871502,7.461950897050985,69.0,49.0,0.09000768988175016,63.5359
75,0.004898758981058132,76.0,0.002127659574468085,0.1327117637360035,-89138352536.87743,0.39831206117683254,-0.09942674078213465,18.89386914213179,69.0,12.0,0.15303002061856386,52.9122
734,0.04794252122795559,791.0,0.022144456886898096,0.003994265958338426,-89138352537.00351,0.05968194662452851,-0.05062661811905253,10.270175461013313,53.0,19.0,0.03358133079001119,36.464
788,0.05146962769431744,826.0,0.023124300111982084,0.062245705312834014,-89138352536.94481,0.12075190180356697,0.004961389150483586,7.818495343734624,62.0,37.0,0.03499292715550204,51.4584
93,0.0060744611365120835,93.0,0.0026035834266517357,0.1443202875538125,-89138352536.86322,0.3095290800399663,-0.02488478016685998,13.102759837530412,69.0,27.0,0.1027129008027434,58.0092
100,0.006531678641410843,101.0,0.0028275475923852183,-0.07926175044245684,-89138352537.08673,0.06291541662115253,-0.21986579978363774,15.674640078483462,53.0,2.0,0.08567859066477046,19.1279
99,0.006466361854996734,102.0,0.0028555431131019036,-0.01911610941409536,-89138352537.02603,0.11949955192664846,-0.16569817980788396,18.5123297396627,62.0,5.0,0.08700511728920261,30.5069
174,0.011365120836054865,176.0,0.004927211646136618,-0.0447014814804979,-89138352537.05171,0.08357425744900816,-0.1690385735908081,16.510925521908213,57.0,4.0,0.07663617536760835,25.7279
1257,0.0821032005225343,1375.0,0.038493840985442326,0.05574318043733453,-89138352536.95193,0.09678995772952187,0.013949824706246033,6.21447485713797,59.0,39.0,0.025299531948293385,50.6735
194,0.012671456564337035,208.0,0.0058230683090705485,-0.03584306596163456,-89138352537.04318,0.07587943561629003,-0.1484769508325672,15.554350490779099,56.0,6.0,0.0681510716828877,26.5241
763,0.04983670803396473,782.0,0.02189249720044793,0.05200850901153714,-89138352536.95546,0.11072133802250086,-0.00556835717419258,8.635766314577994,61.0,33.0,0.03563497671355147,49.0504
48,0.0031352057478772045,50.0,0.0013997760358342665,-0.14256529894363762,-89138352537.14964,0.06759397758607366,-0.372267340327726,16.70927143713932,53.0,0.0,0.13335608399075918,13.3702
331,0.02161985630306989,343.0,0.009602463605823069,-0.015626082577819892,-89138352537.02266,0.07099281353338857,-0.10207471297344521,13.699714752869857,55.0,11.0,0.05214656701721371,30.7337
506,0.03305029392553886,517.0,0.014473684210526316,0.037611383318321014,-89138352536.9699,0.11063923066652785,-0.03744396763788112,11.515462655056462,61.0,23.0,0.044853875318198524,45.0228
74,0.004833442194644023,76.0,0.002127659574468085,-0.17575488216011165,-89138352537.18332,-0.013021834073784221,-0.32955660259947683,10.394037042458526,31.0,0.0,0.09644077575848477,7.8914
97,0.006335728282168517,99.0,0.0027715565509518476,-0.07147086670911927,-89138352537.07933,0.08860840251584565,-0.22054093837603192,17.361488811447018,57.0,2.0,0.09413301460978202,21.3575
108,0.00705421293272371,109.0,0.003051511758118701,0.049159751465331164,-89138352536.95789,0.20933714577098386,-0.10425640762485461,18.299816938975102,67.0,11.0,0.09603048702762593,44.77
576,0.03762246897452645,587.0,0.01643337066069429,-0.013042416742114288,-89138352537.02187,0.05839243804824562,-0.0873150247918774,12.364468834527425,53.0,13.0,0.04424826332385499,31.5362
85,0.005551926845199217,87.0,0.0024356103023516237,0.007905902974638584,-89138352536.99966,0.19833012924903137,-0.18258122419634992,21.274433773663638,66.0,4.0,0.11515103889520167,36.2181
284,0.018549967341606792,284.0,0.007950727883538634,-0.12526861851722212,-89138352537.13293,-0.02286352311140677,-0.2270562858228549,8.495411194286007,27.0,2.0,0.061889761995588856,10.4308
1683,0.10992815153494448,1831.0,0.05125979843225084,-0.005714675729746242,-89138352537.01285,0.03319716768464558,-0.0452153175556637,7.979134988205175,47.0,20.0,0.02379257871595879,33.2478
222,0.01450032658393207,226.0,0.006326987681970884,-0.042462776841928236,-89138352537.05093,0.06936201861235852,-0.14936368572992767,15.113457240155212,54.0,6.0,0.06587055070826987,25.2855
69,0.004506858262573481,69.0,0.0019316909294512879,-7.217931827736834e-05,-89138352537.00713,0.14715483250529313,-0.14604196968637753,19.010210834969715,63.0,6.0,0.08941066255194274,34.7951
69,0.004506858262573481,69.0,0.0019316909294512879,-0.005294842736584097,-89138352537.01277,0.18467750430945995,-0.18705781258162293,21.231188190018948,66.0,3.0,0.11244732361854637,34.1202
135,0.008817766165904637,178.0,0.004983202687569989,0.05412215896839971,-89138352536.95403,0.14821433870928946,-0.04048667725348509,12.653778091937602,64.0,22.0,0.0567915505278632,47.97
171,0.011169170476812542,175.0,0.004899216125419933,-0.022676797759770023,-89138352537.03056,0.09343189607469955,-0.13816679905566978,16.37931770221214,58.0,7.0,0.07038456663047786,29.9619
72,0.0047028086218158065,72.0,0.002015677491601344,0.0469889949893422,-89138352536.96138,0.2502653231158204,-0.15988721699810354,21.14269938087377,68.0,5.0,0.12333135007317834,42.5983
465,0.030372305682560417,474.0,0.013269876819708846,0.024654362280685897,-89138352536.9821,0.10469949783559374,-0.05486648543934129,12.761556831358783,60.0,19.0,0.04870699324335639,41.5082
137,0.008948399738732854,137.0,0.0038353863381858904,-0.14088780778937937,-89138352537.1482,-0.011285097476099203,-0.26982902014709487,10.028593432780092,31.0,1.0,0.0794622023622927,9.7124
30,0.001959503592423253,30.0,0.0008398656215005599,-0.05895386987121319,-89138352537.06937,0.2196317197443745,-0.33470941855080194,23.961710403057626,67.0,0.0,0.16871648478891993,26.2616
97,0.006335728282168517,97.0,0.002715565509518477,-0.07710132270273751,-89138352537.08357,0.07380893045639644,-0.22539738815444627,16.509056537246458,55.0,2.0,0.09082262272143081,19.9765
489,0.03193990855649902,492.0,0.013773796192609182,-0.018621140828709012,-89138352537.02637,0.058225149984443614,-0.09560560054367777,12.544559952027015,52.0,12.0,0.046605457885535835,30.1331
2333,0.15238406270411495,2551.0,0.07141657334826428,-0.013639589927171236,-89138352537.02052,0.018938716424864027,-0.04537136265490438,6.702787383618848,42.0,20.0,0.019607186825118052,30.8377
126,0.008229915088177662,126.0,0.003527435610302352,-0.10007878045442575,-89138352537.10765,0.04382797921720841,-0.23757736967323748,14.288166214038805,49.0,1.0,0.08529945998706151,15.8568
181,0.011822338340953625,187.0,0.005235162374020157,0.04609923103311025,-89138352536.96227,0.1693945102765783,-0.07011414293035073,15.64663143171718,65.0,16.0,0.0731656897734986,45.4478
3816,0.24924885695623775,4504.0,0.12609182530795074,-0.01252682932843846,-89138352537.0196,0.00945755850128957,-0.03533228341495305,5.298880975262607,40.0,22.0,0.013645386684798349,30.8179
158,0.010320052253429132,158.0,0.004423292273236282,-0.06960089382347795,-89138352537.07832,0.05192384999775773,-0.19153078497944406,14.810913704427556,51.0,3.0,0.07463914364210594,20.1218
663,0.04330502939255389,676.0,0.018924972004479283,-0.03988132999354249,-89138352537.04706,0.024469907783820688,-0.10266394587032565,10.147056159793342,43.0,10.0,0.03895807058783088,24.3627
476,0.03109079033311561,482.0,0.013493840985442328,-0.04801577911217979,-89138352537.05556,0.024557259083116872,-0.12114151500394375,10.777730826106207,44.0,8.0,0.044208320391032466,22.5268
160,0.010450685826257348,160.0,0.004479283314669653,-0.03992143831093569,-89138352537.0476,0.0940874984723547,-0.173040818863137,17.388992057045744,58.0,4.0,0.08199067662369354,26.1782
70,0.0045721750489875895,70.0,0.001959686450167973,-0.10036559889165912,-89138352537.1079,0.1116931996145313,-0.30438983436643063,19.283982466026046,60.0,0.0,0.1264244694161258,18.9045
1100,0.07184846505551927,1243.0,0.03479843225083987,0.02659510057331199,-89138352536.98138,0.06729648611784847,-0.015036427251115758,7.595303200662894,55.0,30.0,0.02511907275375335,43.1577
105,0.006858262573481384,106.0,0.002967525195968645,-0.02286218268273215,-89138352537.02986,0.1245674975490536,-0.17243736739559457,18.624584423820036,62.0,4.0,0.0892640755742509,30.4248
412,0.026910516002612673,416.0,0.011646136618141097,-0.033787321046049784,-89138352537.04156,0.04466687636775819,-0.11178775988920492,12.125721896448063,49.0,9.0,0.04741609650283245,26.1207
227,0.014826910516002613,231.0,0.006466965285554311,0.0515333812462376,-89138352536.95592,0.15898564765245857,-0.056380682566683,14.178982474070557,64.0,19.0,0.0654946674750185,47.016
119,0.007772697583278903,119.0,0.003331466965285554,0.012510508104367888,-89138352536.99442,0.17172660950109317,-0.14980475201307758,19.761900734494137,65.0,6.0,0.09791491166109617,37.4544
85,0.005551926845199217,97.0,0.002715565509518477,0.0724097886530254,-89138352536.93506,0.21788349631844742,-0.08476046911318567,17.151953894236076,67.0,14.0,0.09216753325885155,48.7681
1299,0.08484650555192684,1361.0,0.03810190369540874,-0.024626571133247496,-89138352537.03172,0.021581713240812334,-0.07077314160639847,8.366408892111357,43.0,15.0,0.028114789240570832,27.7015
75,0.004898758981058132,75.0,0.0020996640537514,0.07269182368833464,-89138352536.93422,0.2735746145177065,-0.11919964890555133,19.51185812755925,68.0,9.0,0.11861609991322938,47.3579
64,0.00418027433050294,64.0,0.0017917133258678612,-0.042944771222440836,-89138352537.05,0.13126730673424475,-0.21289661116206882,19.775468657910487,62.0,2.0,0.10512457419912966,27.3456
88,0.005747877204441541,88.0,0.002463605823068309,0.15633984841392362,-89138352536.85083,0.313418401446464,-0.0036191038664302733,11.161732551893545,69.0,34.0,0.0957076546019313,60.1238
37,0.0024167210973220117,37.0,0.0010358342665173572,-0.1974121638263444,-89138352537.20416,0.09899353560653597,-0.49389291050267303,18.302749185573187,58.0,0.0,0.18030038255026873,11.9915
217,0.014173742651861528,225.0,0.006298992161254199,-0.014989365898521581,-89138352537.0235,0.09198435618465449,-0.12022366798197649,15.681183311217302,58.0,9.0,0.06463560653670723,31.5386
173,0.011299804049640757,173.0,0.004843225083986562,0.13533845455534993,-89138352536.87349,0.26969268543998065,0.006694544002140918,10.111037691058224,68.0,37.0,0.08126580795563357,59.1209
1395,0.09111691704768125,1436.0,0.04020156774916014,0.010444806729057163,-89138352536.99635,0.05322685112163783,-0.0316943668878892,8.25192983428725,51.0,24.0,0.025857863807476133,38.3549
242,0.01580666231221424,243.0,0.006802911534154535,-0.02421927064074557,-89138352537.0316,0.07800318137065279,-0.12529331083795806,14.89229434976357,56.0,8.0,0.06145774946687205,29.113
161,0.010516002612671457,161.0,0.004507278835386338,0.12053816772754786,-89138352536.88795,0.25289119460308235,-0.008813683795580916,11.315217734979738,68.0,32.0,0.07989551894555737,57.4931
273,0.0178314826910516,281.0,0.007866741321388577,-0.0633755517711056,-89138352537.07076,0.03798860105304519,-0.1607261904073461,12.910273143508622,47.0,5.0,0.060277865183972636,20.6856
82,0.005355976485956891,82.0,0.002295632698768197,0.1483126649461977,-89138352536.85985,0.3143856518778995,-0.01814504020594379,12.423957678211883,69.0,29.0,0.10163699239722412,58.5669
181,0.011822338340953625,190.0,0.005319148936170213,-0.0030165292881165554,-89138352537.01274,0.1081765168160644,-0.11572710200689709,16.297428923299528,60.0,9.0,0.06786723114370795,34.2243
80,0.005225342913128674,84.0,0.0023516237402015677,-0.09892960380479243,-89138352537.10551,0.07307057423722711,-0.26311617479574956,16.872481145047992,55.0,1.0,0.10274653826828435,17.7249
66,0.0043109079033311565,68.0,0.0019036954087346025,0.017865581878606658,-89138352536.99176,0.19429268185012083,-0.1602583215967664,20.61062277176505,66.0,5.0,0.10846809430789503,38.2164
77,0.005029392553886349,79.0,0.002211646136618141,0.11632844811165455,-89138352536.89258,0.308090491252581,-0.07207632001172122,16.766790451365463,69.0,16.0,0.11636380015300951,53.6214
3693,0.2412148922273024,4222.0,0.11819708846584547,0.01295798680447166,-89138352536.99422,0.03873777128017422,-0.01214845860074687,5.734518280553302,49.0,30.0,0.01540190705087064,39.3747
722,0.047158719790986285,732.0,0.02049272116461366,0.03936118933992435,-89138352536.96812,0.0987365568213787,-0.021195178943789625,9.585871250960968,59.0,28.0,0.036255756372732394,45.9394
134,0.008752449379490528,134.0,0.0037513997760358344,0.103782640215172,-89138352536.90411,0.2580352068550791,-0.0467251169852831,14.683494719922773,68.0,21.0,0.0933768007135955,54.0091
