number_of_sentences,perc_of_sentences,total_appearance,perc_of_appearance,weights,regularized_weights,upper,lower,std,upper_rank,lower_rank,std_ranks,mean_rank
1196,0.07811887655127368,1341.0,0.03754199328107503,0.03892990008528466,952262731678.968,0.102401114760642,-0.0007574114236019851,5.915023245939107,47.0,26.0,0.02866655682128924,37.95
1660,0.10842586544741999,1824.0,0.05106382978723404,-0.007689561740759465,952262731678.9209,0.02858758526784172,-0.03979833980515669,6.901912778353549,36.0,13.0,0.020331115443577755,24.06
386,0.025212279555845853,396.0,0.01108622620380739,-0.09011063855437344,952262731678.8259,-0.013917626441343152,-0.17642989847730955,5.259382092983928,21.0,3.0,0.046776100007297115,8.67
692,0.04519921619856303,700.0,0.01959686450167973,0.01417147263235163,952262731678.9404,0.10082047704519276,-0.049874089664900076,9.718492681481012,46.0,13.0,0.04009782677041336,29.47
318,0.02077073807968648,322.0,0.009014557670772676,-0.030140955441444038,952262731678.897,0.07358652456875067,-0.12705130670806009,12.307249895894696,41.0,4.0,0.05783921568743025,19.46
308,0.020117570215545395,322.0,0.009014557670772676,-0.028305069716484277,952262731678.9048,0.0893308104595654,-0.11137355932228402,12.087725178874642,47.0,6.0,0.054385432603712515,21.13
102,0.00666231221423906,105.0,0.0029395296752519596,-0.08082376896812202,952262731678.8467,0.08904111353258701,-0.20357970685773014,13.711816072278683,44.0,2.0,0.08665962704922905,16.19
146,0.00953625081645983,146.0,0.004087346024636058,-0.03896167221030596,952262731678.8887,0.07543484600610038,-0.16214781733282596,12.846618232048465,44.0,3.0,0.07536339986651636,18.62
50,0.0032658393207054214,50.0,0.0013997760358342665,-0.15216874508207828,952262731678.7722,0.035097046473365284,-0.43273405514668584,10.961459756802467,41.0,0.0,0.13495241604036862,7.92
278,0.01815806662312214,291.0,0.00814669652855543,0.05876387275382958,952262731678.9817,0.17156518445489954,-0.03353608406940614,10.568722723205486,51.0,17.0,0.06410930192875033,40.11
2329,0.15212279555845853,2542.0,0.0711646136618141,-0.012102846035772963,952262731678.9159,0.02610076985280265,-0.05076410633847417,6.8572516360419495,35.0,11.0,0.0219304734982373,22.09
2089,0.1364467668190725,2358.0,0.06601343784994401,0.051859465752867845,952262731678.9758,0.09247129410561501,0.01976803677062501,4.36095173098717,47.0,30.0,0.01926592011936325,40.61
994,0.06492488569562377,1066.0,0.029843225083986562,-0.012381677151480957,952262731678.9062,0.04379934824109422,-0.05309862379526503,7.858568571947439,39.0,12.0,0.02737324253789164,23.77
354,0.02312214239059438,365.0,0.010218365061590146,-0.02012035231223018,952262731678.9008,0.08364577253689662,-0.10048307876600898,10.940653545378357,46.0,7.0,0.04752499434828302,20.89
134,0.008752449379490528,135.0,0.0037793952967525198,0.130723660223335,952262731679.058,0.3394121395573827,-0.018720944345413142,8.684347989342665,53.0,20.0,0.09651515001298754,45.11
1432,0.09353363814500326,1482.0,0.04148936170212766,0.0018635697634136845,952262731678.927,0.0411185858107712,-0.03789102458685337,7.296430634221092,39.0,14.0,0.02411749582796608,27.11
34,0.0022207707380796863,34.0,0.0009518477043673013,0.12649876427811454,952262731679.0562,0.4003551305549887,-0.14177250088079804,16.107076084752315,53.0,5.0,0.1480713721127807,38.61
483,0.03154800783801437,535.0,0.014977603583426652,-0.0053830541722187375,952262731678.9204,0.05785148273959849,-0.10530653405949633,11.468844754376963,43.0,6.0,0.04587025783626408,23.84
53,0.0034617896799477464,53.0,0.0014837625979843224,0.026621627995060352,952262731678.9482,0.25620997491303854,-0.1395361366629911,17.45526854562828,52.0,4.0,0.11929691942424099,30.44
2565,0.1675375571521881,2888.0,0.08085106382978724,-0.010126412986703928,952262731678.9192,0.019054332623674647,-0.04172702618425572,5.331978994707312,32.0,13.0,0.01662630716397521,21.7
59,0.003853690398432397,59.0,0.0016517357222844344,0.11126009223581153,952262731679.0344,0.4084468042806133,-0.12255193638938075,14.762465918673612,53.0,6.0,0.14467201882918998,40.36
36,0.0023514043109079032,36.0,0.001007838745800672,0.053334235746660665,952262731678.9767,0.2756097829875812,-0.16703259502646967,18.15152610663908,52.0,3.0,0.1345688675916802,31.89
41,0.0026779882429784456,44.0,0.0012318029115341545,-0.16273958350643392,952262731678.7671,0.26273572222349106,-0.6179211141928447,19.420185375016377,52.0,0.0,0.2619749337169307,15.58
152,0.00992815153494448,156.0,0.004367301231802912,-0.07395114349995754,952262731678.8535,0.058008229640529374,-0.18960116511008784,10.941645214500424,41.0,2.0,0.07483393069524111,13.02
1643,0.10731548007838014,1783.0,0.049916013437849946,-5.201651017303251e-06,952262731678.9261,0.03320843029769832,-0.03408941036010249,7.103034562776673,38.0,15.0,0.02202422396821421,26.37
556,0.03631613324624428,598.0,0.016741321388577826,-0.027320558262102057,952262731678.8986,0.03356933741909957,-0.0908819853724541,9.332625568402497,36.0,7.0,0.038129769428603584,19.89
91,0.0059438275636838666,92.0,0.0025755879059350503,-0.00997901868700081,952262731678.912,0.15848709434806155,-0.20205721389024198,15.96614856501091,49.0,2.0,0.09184036016604083,22.89
61,0.003984323971260614,61.0,0.001707726763717805,0.009069337165479613,952262731678.9373,0.21707058169017385,-0.19158404949637362,16.83465473361423,52.0,3.0,0.11506089871773013,28.88
23,0.0015022860875244938,23.0,0.0006438969764837626,-0.18731488924636336,952262731678.7408,0.182413444033058,-0.4433596424838762,13.857023489912976,50.0,0.0,0.1660941918318589,8.27
25,0.0016329196603527107,25.0,0.0006998880179171332,0.32290208737198456,952262731679.2478,0.614658125569163,0.0005587858710802973,9.438982996064778,53.0,27.0,0.17224628883934356,49.16
192,0.012540822991508818,196.0,0.005487122060470325,-0.03954308031975495,952262731678.8923,0.10189753181467005,-0.14986918465687582,12.781768265776062,45.0,3.0,0.06925419585611416,19.92
1095,0.07152188112344873,1166.0,0.0326427771556551,0.019656111658945763,952262731678.9446,0.07003208708617473,-0.021877656808098334,8.06620108849265,44.0,16.0,0.026789188779299856,31.58
965,0.06303069888961463,1100.0,0.030795072788353865,0.02897314343413554,952262731678.9574,0.09051869418830723,-0.017642003941042896,7.2581747016725915,45.0,20.0,0.02830435039618333,34.83
372,0.024297844546048334,401.0,0.011226203807390818,0.03730908507485321,952262731678.9636,0.09838491129425678,-0.06175019221426378,11.384950592778168,47.0,10.0,0.04371197909702233,33.27
154,0.010058785107772698,158.0,0.004423292273236282,0.08752624701641801,952262731679.0143,0.22002024227362252,-0.03717474084267235,11.060827274666213,52.0,15.0,0.07859748504257741,41.41
186,0.012148922273024167,188.0,0.005263157894736842,-0.16530695765612213,952262731678.7622,-0.03228240522631971,-0.2829681270937166,5.617214612243332,15.0,1.0,0.07497225022243154,4.63
121,0.00790333115610712,121.0,0.0033874580067189248,0.09533297686141909,952262731679.0247,0.2787737062642974,-0.05240808651311493,12.13241937949723,52.0,13.0,0.09419485679223571,40.38
84,0.005486610058785108,84.0,0.0023516237402015677,0.0936420413462738,952262731679.0214,0.30777321921426515,-0.09468176243331858,13.646010405975808,52.0,8.0,0.1072626991814463,40.92
220,0.014369693011103853,221.0,0.006187010078387458,-0.0327611215780894,952262731678.8934,0.08317737329542588,-0.14319953110439856,12.288140624195348,45.0,3.0,0.05997890097647108,20.96
