number_of_sentences,perc_of_sentences,total_appearance,perc_of_appearance,weights,regularized_weights,upper,lower,upper_rank,lower_rank,mean_rank
5444,0.13124397299903567,6112.0,0.07293207961433822,0.0907219840328483,323511557961.68616,0.11147726002255996,0.06985132269999904,22.0,15.0,19.043
745,0.01796046287367406,782.0,0.009331296835473247,0.08866058830068027,323511557961.68896,0.14796995088375609,0.028809873404289768,25.0,7.0,17.7746
776,0.01870781099324976,839.0,0.010011455300462985,0.030786402464120944,323511557961.6294,0.0867097276260284,-0.026077785372218283,18.0,1.0,8.1184
2491,0.060053037608486015,2661.0,0.03175266097083671,0.13765462366912598,323511557961.72925,0.1696400841657038,0.10544407298934007,26.0,21.0,24.1289
2634,0.06350048216007714,2757.0,0.03289819101713522,0.12007497347443873,323511557961.7111,0.15168526162972865,0.08836819772489266,25.0,19.0,22.6403
10416,0.2511089681774349,12334.0,0.14717674574006015,0.022360695598721753,323511557961.61597,0.03688842249506951,0.008110215531858981,10.0,3.0,5.9255
6192,0.14927675988428157,7055.0,0.08418452579829125,0.06289634104752297,323511557961.6562,0.08222622261689612,0.04426297517040539,18.0,10.0,13.9421
433,0.010438765670202507,489.0,0.005835043673333015,0.029044310545248194,323511557961.62274,0.09768432001690701,-0.03741441629741213,20.0,0.0,8.1979
325,0.0078351012536162,335.0,0.003997422557395829,-0.05514654082605818,323511557961.5388,0.02942685369080922,-0.1387128025828516,7.0,0.0,1.0636
1548,0.03731918997107039,1764.0,0.02104911460073505,0.020943593491925646,323511557961.61456,0.05934840172367183,-0.01592709178572197,13.0,1.0,6.1252
4395,0.10595467695274831,4669.0,0.055713331105913796,0.06250417406072213,323511557961.6574,0.08644602434606996,0.03874303392685316,19.0,9.0,13.8188
8593,0.20716007714561235,10240.0,0.12218987160517397,0.014316434714443974,323511557961.6083,0.029933333793288417,-0.0012187240601397174,8.0,1.0,4.4172
109,0.002627772420443587,110.0,0.0013125865113837048,0.14422339642260243,323511557961.7383,0.3002784550606294,-0.010409394423346522,27.0,2.0,20.7443
3923,0.09457569913211186,4225.0,0.05041525464178321,0.08991047738768326,323511557961.68463,0.1150135060686955,0.06501080402298892,23.0,14.0,18.8575
1047,0.025241080038572807,1123.0,0.013400315020762731,0.04079680324521611,323511557961.63617,0.08694151070135356,-0.005300126417762814,18.0,2.0,9.6103
1475,0.03555930568948891,1574.0,0.01878191971743592,0.04497296868182304,323511557961.6392,0.09029384535942993,-0.0010909883112036147,19.0,2.0,10.5173
109,0.002627772420443587,109.0,0.001300653906734762,0.34584387732761696,323511557961.9404,0.5172710968456339,0.1895562696017548,27.0,26.0,26.8312
883,0.021287367405978783,954.0,0.011383704835091404,0.07702376728728492,323511557961.6715,0.12569068690442928,0.029031405247948987,23.0,7.0,16.3029
297,0.007160077145612343,302.0,0.003603646603980717,0.086917580814186,323511557961.6812,0.17610473038004223,-0.002537532888195429,26.0,2.0,16.8712
575,0.013862102217936354,611.0,0.007290821440504033,0.06459590349262544,323511557961.65857,0.13179797740488128,-0.002137840240504373,24.0,2.0,13.9373
1218,0.02936354869816779,1309.0,0.015619779485466088,0.03708303182423066,323511557961.63184,0.08639579058516367,-0.013116081691054396,18.0,1.0,9.1447
545,0.013138862102217937,594.0,0.0070879671614720065,0.05386964720748355,323511557961.6477,0.11240729761239236,-0.004458351658642647,22.0,2.0,12.0889
2260,0.05448408871745419,2414.0,0.02880530762254785,0.032668922707285344,323511557961.62573,0.06381184431916598,0.00036921319381161104,14.0,2.0,7.9573
4702,0.11335583413693347,5490.0,0.06550999952269582,0.09997783415818134,323511557961.69354,0.12091312055529016,0.07895377362913887,23.0,17.0,20.4217
7675,0.18502892960462874,9445.0,0.11270345090926448,0.06301003201478217,323511557961.657,0.07837425032489116,0.048089505282612396,18.0,10.0,13.9307
721,0.017381870781099325,753.0,0.008985251300653906,0.013964548271856708,323511557961.60803,0.07243973776424338,-0.04367724418316817,16.0,0.0,5.6305
2596,0.06258437801350049,2745.0,0.03275499976134791,0.019477613328940144,323511557961.61365,0.049055713965357406,-0.011027658089903821,11.0,1.0,5.5643
1944,0.04686595949855352,2009.0,0.023972602739726026,0.14323932493775002,323511557961.7369,0.18145902577984632,0.10597746450343896,26.0,21.0,24.3944
41480,1.0,83804.0,1.0,0.0,-501788263035.594,,,,,
